comparison	label	min_dimelo_coverage	n_bins	pearson	spearman	left_mean	right_mean	adenine_density_decile	mean_adenine_density	mean_adenine_count_per_bin
external-dimelo	T-D	5	2149	0.5706002150679612	0.6491260241292909	5.097070820238537	0.1695832756224423	1	0.12364166666666666	24.72833333333333
external-dimelo	T-D	5	2095	0.5120426424336681	0.41713436536762755	2.046804357581543	0.11365932841423902	2	0.16195166666666666	32.39033333333333
external-dimelo	T-D	5	2153	0.5239055343929736	0.37919732009459983	1.7047676959371516	0.10198951103658765	3	0.18083	36.166
external-dimelo	T-D	5	2047	0.4509964073310626	0.3282748909044704	1.5754546194111916	0.09621261960271074	4	0.19618499999999997	39.237
external-dimelo	T-D	5	2045	0.44763332412674933	0.26059759209209843	1.3814896770693763	0.09088103832651108	5	0.211935	42.387
external-dimelo	T-D	5	2021	0.40592485377981624	0.264588586225646	1.4365005825707695	0.09001951027110906	6	0.22940833333333335	45.88166666666667
external-dimelo	T-D	5	1957	0.35314626881875777	0.24629644566238446	1.2172292996236962	0.08143902553754588	7	0.25006	50.012
external-dimelo	T-D	5	2020	0.30109465461788953	0.16110994782606414	1.062373606985278	0.07448091074837938	8	0.271785	54.357
external-dimelo	T-D	5	1947	0.30008159977230103	0.1385761953174495	0.9976036421197424	0.06734765510704457	9	0.2987616666666667	59.75233333333333
external-dimelo	T-D	5	1942	0.2229126373680211	0.11909123024942593	0.912381242090696	0.06083328273743681	10	0.35645	71.29
