comparison	label	min_dimelo_coverage	n_bins	pearson	spearman	left_mean	right_mean
external-dimelo	T-D	1	20377	0.5335777784278948	0.3215122559596021	1.7719906898594724	0.0954975849154846
alphagenome-dimelo	A-D	1	20377	0.5415317304394499	0.3607289126978569	224.94842911125286	0.0954975849154846
hyena-dimelo	H-D	1	20377	0.6378361557206712	0.5253368600613741	0.09648070881806886	0.0954975849154846
external-dimelo	T-D	5	20376	0.5335782872773397	0.3214408502486231	1.7720644843402455	0.09550227168349183
alphagenome-dimelo	A-D	5	20376	0.5415308006546208	0.3606361132861217	224.95835320965838	0.09550227168349183
hyena-dimelo	H-D	5	20376	0.6378719763946862	0.5254566768706617	0.09648024713881999	0.09550227168349183
external-dimelo	T-D	10	20373	0.533675594502043	0.32170754819773134	1.7722936725450935	0.09549498008290774
alphagenome-dimelo	A-D	10	20373	0.5416285359669547	0.36083792855928115	224.98487428213812	0.09549498008290774
hyena-dimelo	H-D	10	20373	0.637863485420532	0.5254691963410734	0.09648112615481298	0.09549498008290774
external-dimelo	T-D	20	20361	0.5334263320314477	0.32197541427825865	1.7717346270627718	0.09549773898551506
alphagenome-dimelo	A-D	20	20361	0.5413632634636398	0.36125563600958993	224.8856522272973	0.09549773898551506
hyena-dimelo	H-D	20	20361	0.6390417457994002	0.5262258605853065	0.09647063830832367	0.09549773898551506
external-dimelo	T-D	50	20313	0.5345143570752372	0.32225131747812824	1.7674451177602106	0.0954171756968432
alphagenome-dimelo	A-D	50	20313	0.5414382834595235	0.36147826719484494	224.55311001575348	0.0954171756968432
hyena-dimelo	H-D	50	20313	0.6398847545045436	0.5271373836610117	0.09639791478030497	0.0954171756968432
external-dimelo	T-D	100	19635	0.5411375136516181	0.3178557947147124	1.7316117025800837	0.09395169292209023
alphagenome-dimelo	A-D	100	19635	0.5458796723230074	0.3559890288579744	220.0486705500382	0.09395169292209023
hyena-dimelo	H-D	100	19635	0.654064223707493	0.5329856311099926	0.09518541568391264	0.09395169292209023
external-dimelo	T-D	200	16855	0.5726394966921812	0.3329566868970604	1.717164235236862	0.09350336115350935
alphagenome-dimelo	A-D	200	16855	0.5776928962070196	0.36248752933090045	217.93738660634827	0.09350336115350935
hyena-dimelo	H-D	200	16855	0.6950420343854878	0.5771755506823679	0.09452123249606911	0.09350336115350935
external-dimelo	T-D	500	12875	0.5952515197085064	0.33287702655145374	1.6350770994033452	0.09173899136088236
alphagenome-dimelo	A-D	500	12875	0.597102913825595	0.35573612252679293	205.80072432038835	0.09173899136088236
hyena-dimelo	H-D	500	12875	0.7123929093484682	0.6259758184526754	0.09320610014307168	0.09173899136088236
external-dimelo	T-D	1000	9507	0.582269454788307	0.3111435529172411	1.4594066765837774	0.08927413328696004
alphagenome-dimelo	A-D	1000	9507	0.5873876281224846	0.3307662447374764	186.09831209897973	0.08927413328696004
hyena-dimelo	H-D	1000	9507	0.7104623364105932	0.6413736506241721	0.09160014485225143	0.08927413328696004
