comparison	label	min_dimelo_coverage	n_bins	pearson	spearman	left_mean	right_mean	stratification	stratum
external-dimelo	T-D	5	0					dimelo_coverage_decile	1
external-dimelo	T-D	5	0					dimelo_coverage_decile	2
external-dimelo	T-D	5	0					dimelo_coverage_decile	3
external-dimelo	T-D	5	2376	0.4444852126401314	0.3220791391725977	2.205587229436853	0.11330470063292816	dimelo_coverage_decile	4
external-dimelo	T-D	5	3000	0.4789132336256924	0.28148326888861075	1.7846919175109763	0.09304568489716189	dimelo_coverage_decile	5
external-dimelo	T-D	5	3000	0.5620393927263951	0.3799188021773198	2.122086288841019	0.10149722480816309	dimelo_coverage_decile	6
external-dimelo	T-D	5	3000	0.6099532488601316	0.385698816360179	2.0193057770222427	0.097984979184594	dimelo_coverage_decile	7
external-dimelo	T-D	5	3000	0.6226757474148509	0.32914877960447414	1.6508426889823937	0.09630764610884095	dimelo_coverage_decile	8
external-dimelo	T-D	5	3000	0.5641140891768917	0.3121913051670552	1.6366053785414685	0.09266185505115906	dimelo_coverage_decile	9
external-dimelo	T-D	5	3000	0.535951606790281	0.2737347371120524	1.0755048410268624	0.07741671632307845	dimelo_coverage_decile	10
external-dimelo	T-D	5	0					dimelo_read_count_decile	1
external-dimelo	T-D	5	0					dimelo_read_count_decile	2
external-dimelo	T-D	5	0					dimelo_read_count_decile	3
external-dimelo	T-D	5	2376	0.4132428198795294	0.21323202990378534	1.5922687494880066	0.0860996574771321	dimelo_read_count_decile	4
external-dimelo	T-D	5	3000	0.4046548661795038	0.29776356196003034	1.7964231072068026	0.09946209959395817	dimelo_read_count_decile	5
external-dimelo	T-D	5	3000	0.5265986198964101	0.3366838453853088	1.8176517093431266	0.09722381016306951	dimelo_read_count_decile	6
external-dimelo	T-D	5	3000	0.6020160953572521	0.4349150033386909	2.366708576899214	0.10469352446507414	dimelo_read_count_decile	7
external-dimelo	T-D	5	3000	0.5716188511149493	0.31185390841389243	1.5929079010936558	0.09228262610402277	dimelo_read_count_decile	8
external-dimelo	T-D	5	3000	0.6416185326839808	0.3342328312483922	1.7926980458445412	0.09781672939775421	dimelo_read_count_decile	9
external-dimelo	T-D	5	3000	0.6543108205366751	0.3487934999434541	1.4083957876571083	0.08898171082850911	dimelo_read_count_decile	10
external-dimelo	T-D	5	2072	0.020238211281293467	0.036644122810798076	0.1794453522785383	0.07378656957535593	external_signal_decile	1
external-dimelo	T-D	5	2059	0.04046072835904287	0.03866725439180351	0.30642874613673854	0.07393971530826908	external_signal_decile	2
external-dimelo	T-D	5	2043	-0.013047249682263964	0.004226843936107678	0.38496742537169476	0.07410430637821497	external_signal_decile	3
external-dimelo	T-D	5	2006	-0.014437870915016415	0.00130056685657816	0.4544014725798104	0.07383428772758839	external_signal_decile	4
external-dimelo	T-D	5	2055	0.012018869799213827	0.023773859957012606	0.5244423776340927	0.07701022553601397	external_signal_decile	5
external-dimelo	T-D	5	2019	-0.00552264969704032	-0.007852872437564532	0.6036207633554279	0.07700330110335606	external_signal_decile	6
external-dimelo	T-D	5	2009	0.016232035003848903	-0.00536848302849841	0.6993852858475121	0.08033220178195503	external_signal_decile	7
external-dimelo	T-D	5	2024	0.06558636261264025	0.06268410181806339	0.8484564260789101	0.08259427878865466	external_signal_decile	8
external-dimelo	T-D	5	2040	0.20801862468886323	0.22491707474409986	1.4099677159094488	0.11459654179481826	external_signal_decile	9
external-dimelo	T-D	5	2049	0.22291115529991107	0.3374842446254144	12.255591106545333	0.22706643504974725	external_signal_decile	10
