row_idx	read_id	chrom	alignment_start	alignment_end	read_length	is_reverse	mapq
0	ca43ca1f-e689-48b9-968b-3af96e0fcab8	chr19	1175894	1205335	27729	False	60
1	a00fdb63-f60c-4bdc-a053-3e3c4bb2c7cb	chr19	1176446	1211180	31866	False	34
2	4d3990b6-a22c-45f4-870f-3724363ac32c	chr19	1177952	1208309	28486	False	60
3	1037bf78-f2ba-4cf0-9dc4-ca37cb4a64d8	chr19	1180448	1201090	18842	False	60
4	896dab1f-0797-43f1-9c0d-879c2d241550	chr19	1180773	1207539	24928	False	60
5	53a6e1a2-ac1b-46a6-9ad9-ea48b6ee1bd7	chr19	1181088	1205066	22100	True	60
6	ec040e7a-aed9-4bc1-bc21-516a5ea97581	chr19	1190078	1211340	19460	True	60
7	edc6cd4e-571b-491f-b75b-09bbd36c2b35	chr19	1190780	1215456	22854	True	60
8	dba1ca0c-aa1a-4667-9542-cbdf6a76017b	chr19	1191430	1204490	11223	False	60
9	227dcb87-9827-4ed8-b436-5c67aa7c6ca3	chr19	1191757	1204805	11222	False	60
10	0ddfc661-3880-4af4-a1fa-343e9672f3d7	chr19	1192264	1203913	9853	True	60
11	a0c3d91c-d5f7-4184-bc92-76601219dae4	chr19	1192496	1201433	7108	True	60
12	cb13b690-a94d-48dc-9c28-3d6fec029e20	chr19	1193056	1203831	9016	False	60
13	1711f6d4-db4a-4634-8364-06d9067bec6d	chr19	1193090	1203538	8639	False	60
14	abbcd062-649c-4ba2-b9d6-164423777e59	chr19	1193502	1218608	23215	True	60
15	65a85d8a-7dfd-4403-8fa8-b31c0a5ee110	chr19	1194356	1207743	11568	False	60
16	a35fa70f-cde5-46af-8e44-0416fee7daa6	chr19	1196693	1207830	11105	False	60
17	5b2b5f54-0bb7-4e9a-bcd7-c8b8503410d3	chr19	1197964	1209379	11417	True	60
18	ded61270-cc0e-4ab9-8d56-b6574d3b8b30	chr19	1198182	1217307	19069	False	60
19	b67e1a86-d6f5-4b10-9933-b6c8954ff89a	chr19	1198182	1217307	18942	True	60
20	0f296625-c69a-4515-ae13-437494ce2a60	chr19	1198216	1201456	3259	False	60
21	870a2df9-80a9-4880-8e2c-1f283e95e7bc	chr19	1198335	1225523	25695	False	51
22	9d0a3312-be82-4321-b4bd-be3d67a2b153	chr19	1198402	1204188	5785	True	60
23	cf988a6e-5ba1-4578-933c-da2920ea35f5	chr19	1198450	1206971	8347	True	60
24	23c29cdb-98cb-4227-9060-9a1195ea7c38	chr19	1198867	1211350	14885	True	60
25	9a3c7e5b-4022-4c5c-b811-9cd5d793d788	chr19	1199014	1202906	3909	True	60
26	b700147d-3acd-41e0-a026-9e65f4b9118a	chr19	1199160	1209159	10029	False	60
27	1a824304-a47f-43e2-affd-269556c641c7	chr19	1199273	1208815	9846	False	60
28	d9e0e028-81ae-48cf-a3eb-92ad2814bfd8	chr19	1199917	1206678	6750	False	60
29	c22ee843-8bef-4b68-a731-e42637396ee6	chr19	1200317	1209575	13741	False	60
30	5410b953-297a-4ddb-8335-d7f260417ef3	chr19	1201890	1204703	2818	True	60
31	ee06733e-7036-4f12-aa68-0daeef61f400	chr19	1202460	1221955	19421	False	60
32	939afbca-d286-4545-9db8-6c96165624fc	chr19	1202460	1221955	19463	True	60
33	b2b8d278-6d31-42a7-a1df-ddb7e1e0c6b7	chr19	1202760	1206463	3664	False	60
34	8e2230b7-ed76-4bb7-9af6-4d7bdd443492	chr19	1203029	1213253	10146	False	60
35	04a8fa2f-4188-47f6-a208-75f26b9b4181	chr19	1203247	1225812	21983	False	60
36	2aa70344-90bc-4f08-814a-c39f7e067cbb	chr19	1203276	1225808	22226	True	60
37	316953d8-251b-4aba-a352-b5b229b6d083	chr19	1203463	1210304	6692	True	28
38	63412a98-3ce1-4040-91c7-55b4e564eb16	chr19	1203595	1212741	9198	False	60
39	33042d7f-e4d3-4efb-a472-41515a542019	chr19	1203987	1212459	8417	True	60
40	4a950c2c-9d4e-48d1-b3c7-53d77d23f5f3	chr19	1204130	1217110	12254	False	26
41	210d0865-225a-43de-8d35-36f08378de4c	chr19	1204454	1210743	6323	False	60
42	d88c8989-9179-4932-acd3-12033feee75b	chr19	1204464	1212769	7998	True	53
43	9bfe51c3-2a9a-4770-b85a-156b3d3b9334	chr19	1204993	1222535	17271	False	60
44	9c0fea80-a98a-4349-89ab-b33d2dbbb9d3	chr19	1205343	1212545	7192	False	60
45	4a09ebcd-cdb8-473d-b959-f7ce69e09088	chr19	1206662	1214678	7977	True	60
46	afc1ccd0-f1f6-4f39-a60e-6c205fdaaf53	chr19	1208076	1212317	4267	True	60
47	bfd3c585-6b47-4ffb-a043-0131173563bd	chr19	1208120	1214872	6778	False	60
48	802d82c1-e1f1-4277-b8f9-c2dd23fa0240	chr19	1209257	1230414	21005	False	60
49	dc79e7d5-464e-4602-b192-f364d30d05dd	chr19	1209266	1210817	1547	True	60
50	7375529f-e90c-4d69-83a1-7a0ea0b22216	chr19	42173336	42201882	28498	True	60
51	72b9677c-b6a6-4f40-9fc8-44c2c0c7b92a	chr19	42174232	42201644	27057	False	60
52	85e430f8-79f7-4e0a-bfae-b3b12f36f284	chr19	42175429	42207429	31881	True	60
53	b8804d65-a416-4c82-8881-110b618a6d26	chr19	42177325	42206795	29450	True	60
54	f6de5948-9ee5-40d7-9ada-ea69f8976065	chr19	42178851	42208345	29359	False	60
55	5c790fff-6688-4a79-ac94-f658a207bb7f	chr19	42179797	42203491	23164	False	60
56	dcd6c56c-7454-4753-bcfa-46998e8b5b17	chr19	42181483	42203273	21404	True	60
57	5bc31359-44e2-4adf-ac2d-5b60b666bcbd	chr19	42181571	42203273	21192	False	60
