row_idx	read_id	chrom	alignment_start	alignment_end	read_length	is_reverse	mapq
0	6716f742-d9ed-4c16-a260-4f069a33b9eb	chr16	674356	701614	27315	True	60
1	e7a44f2d-9ad8-4eb8-b79c-ec8da25c3341	chr16	674741	701250	26300	False	60
2	f6c83e53-c0cf-4180-ae10-26e836acb56f	chr16	679849	707023	27554	False	60
3	e22751ea-29f9-4297-a203-677e938735cd	chr16	682840	713944	31187	True	60
4	748c13c1-10a4-46ad-88b5-09473b191715	chr16	683703	701349	17721	True	60
5	9d5b0422-b49e-49ca-8edb-33b946eeb1e0	chr16	683737	706221	22438	True	60
6	fe0a1c50-1da7-45be-a830-87a6a528053f	chr16	685110	707223	22202	True	60
7	6026de23-63a5-47ac-b31e-cf8a7860645e	chr16	685492	700547	15129	False	60
8	da69137b-2e33-4001-9440-e1065bb5940b	chr16	686497	706112	19669	False	60
9	43957502-0bfa-4f06-acde-3a04f2cef491	chr16	687237	701027	13861	True	60
10	9d974eb4-bddb-4871-ab5b-f3b860d8af70	chr16	689060	703972	14944	True	60
11	1e484b29-43c8-4903-88ff-e7e7c29ecb3b	chr16	689563	705798	16323	True	60
12	207d270d-d37c-45f5-ae69-b604c7eea8a2	chr16	693054	702279	9278	False	60
13	e911b50e-36cf-4017-a9b5-2cd5437cb1f8	chr16	693432	702513	9249	True	60
14	2f551cbc-9a1b-486e-9b91-7c15ebda2fcd	chr16	694211	714181	20019	True	60
15	3167b5e4-a560-415a-8b64-ec3d1ca77ebe	chr16	694286	705781	11715	True	60
16	fb4485e1-4b2b-496a-95fd-b52df7accd1e	chr16	696044	704844	8431	False	60
17	737243f9-6d51-482f-91ab-c924a7acb00a	chr16	696240	714133	17995	False	60
18	bb1c312d-a733-43b3-a6ca-d4e6ccc6c42f	chr16	696240	714133	18030	True	60
19	81e94299-37d4-4f50-9c61-ff68b4e05452	chr16	696463	709755	13398	False	60
20	eab68072-b471-434f-b891-0e64448699c4	chr16	697103	706518	9271	False	60
21	77da53b3-a0ea-4461-b16f-68ec57c7c7f0	chr16	697578	708819	10962	False	60
22	eabb340d-f3e2-48b7-9d5c-8bfba0d7e935	chr16	697965	702157	4154	True	60
23	d326181e-f94d-43eb-93f8-c56bb8971d58	chr16	698121	717767	19464	False	60
24	1c3be7f4-170a-4d1d-ac60-fbe3fa963dca	chr16	698241	703493	5254	True	60
25	d9315dca-e978-4ca3-be6f-33407cb8284c	chr16	698332	711316	13012	True	60
26	1ed2d7f1-6294-459c-be4c-9a2af2b848c9	chr16	698590	720077	21439	False	60
27	ca832d2c-fbc5-4845-b1d1-fc269e07fedf	chr16	698672	714226	15524	True	60
28	72a40e2c-e891-431e-9f0f-51b305b57711	chr16	698694	701818	3142	True	60
29	90a58346-e240-4e79-855c-e274d5e9d204	chr16	698800	701487	2670	False	60
30	1d44b08b-2113-4e1a-91a9-08cbd0d4d8eb	chr16	699098	707352	7907	True	60
31	9cab85bc-e9d9-4440-93ce-511394a2565f	chr16	699118	705164	6050	False	60
32	ca0c0733-4b46-4a3e-8bf1-6872721d589b	chr16	699301	704355	5329	True	60
33	cce0d845-0282-42ab-8582-71dcc9952f8e	chr16	700027	710487	9659	True	60
34	38160299-e6d1-4b55-a76b-3ed890d003ec	chr16	700031	709922	9844	False	60
35	b467a1e2-6927-4c44-8586-de37fc3258d1	chr16	700371	714771	14382	True	60
36	186482fc-61f1-472f-8297-e33481569d0d	chr16	700372	714771	14310	False	60
37	7ebd3ed8-1164-45b0-9596-b8516484e7a2	chr16	701759	707425	5685	True	60
38	c1b0e7a2-5032-4774-8282-081b902cbb5c	chr16	702336	705051	2652	False	60
39	fbc0050b-91f5-4062-8ee3-cc7a9f748b9b	chr16	702519	712276	9731	False	60
40	d94d94ab-8cd1-4a72-9caa-04fe105ba0b3	chr16	703200	717816	14559	False	60
41	07670fa5-c4fc-4927-ad9f-7149144dd1ec	chr16	703202	707267	4068	True	60
42	6c6df387-a8a0-4262-b303-ddea94b0fd92	chr16	703392	712059	8671	False	60
43	e438018e-fb87-4b52-8dad-737a7cbf7751	chr16	703669	729327	25668	False	60
44	f3b81fad-c06d-405e-a5e0-2c45015701df	chr16	703756	726551	22720	True	60
45	7601761f-2985-4d4d-8efc-b59f992f2d85	chr16	703988	714725	10645	False	60
46	66ae0ba0-e6b6-4bbd-94f3-7822a2741a3c	chr16	705139	716020	10824	False	60
47	d63f84ab-b8fb-4ebf-b819-7e6889606bcf	chr16	705217	737957	32615	True	60
48	a437d841-4546-4f0b-a13a-f36f139536e1	chr16	705220	723706	17502	True	55
49	b1d8bb57-afca-4fe4-8726-15277c5d56d2	chr16	706494	738126	31474	True	60
50	c3969ca1-b50c-44c2-8836-d25c5ca6f03d	chr16	706798	709905	3116	False	60
51	b071da2e-8d6d-4df4-95d3-9a7ca1003c0e	chr16	707287	713847	6523	False	60
52	5eb4bfe2-bdfe-49e0-9daa-f8156cf68c5f	chr16	707407	713990	6512	False	60
53	95b3636f-20b7-4edf-a253-18e9d9c417ab	chr16	707969	713371	5389	True	60
54	109491f6-358c-444f-85e4-01d25f4b72c6	chr16	708014	736178	28114	False	60
55	623d4714-a204-4b21-9207-0a4ea8c17ee9	chr16	708175	721233	13060	False	60
56	d42a4d66-0286-40ab-b3a8-096fb7baaf08	chr16	708626	731605	22647	True	60
57	8dfc96a5-ec6a-4a0e-9d54-da08f35d71fd	chr16	708988	720690	11511	False	60
58	491bc7b2-c368-4b0e-bca0-6476dd7c3fbc	chr16	709254	719523	10091	True	60
59	e2c1cbc7-309c-4c77-bd09-ab66bcab3a8a	chr16	709292	715996	6740	True	60
60	4e25456e-6b39-4a1b-9652-8f6bd36be721	chr16	709631	721232	11151	True	60
61	9fdcc897-011e-40a4-8e61-6923d74ccccb	chr16	709671	714189	4549	False	60
62	806a34ed-3730-4570-b5b4-2237cd0471c0	chr16	709691	715290	5584	True	60
63	284b58a5-609a-46e7-96db-a2c538b1e544	chr16	709954	719986	9941	True	60
64	89ce1b42-55bc-4ca8-b261-35de26fba964	chr16	710841	717856	6989	True	60
65	e9f52d2a-e241-4ac4-bce0-d804f67fd9b8	chr16	711067	719595	8257	False	60
66	856d38e1-fe2c-46df-a6a2-a0f1831f4ce4	chr16	711078	719600	8233	True	60
67	04bbf9db-df71-4ca2-8881-3dba8815345e	chr16	711415	716188	4814	True	60
68	ea3e72d9-595c-48c4-8f61-645c954926d8	chr16	711616	726677	15037	False	60
69	19aaa17e-05a4-4cce-9d01-d3744938fc60	chr16	712655	732429	19710	True	60
70	cb090f9f-55dd-4bad-9cc4-1a302c517dce	chr16	712911	738223	24134	True	60
71	0d927896-1b62-4d91-96ad-da4e288e3b53	chr16	713128	723963	10861	False	60
72	4663520b-f541-4a7c-880d-e31a4307bf4d	chr16	713282	716850	3504	True	60
73	e34819ee-b818-48c0-9326-650791e6a7f1	chr16	713462	725350	11826	True	60
74	2b515959-2433-465a-a1e2-3d51c0c0e5ac	chr16	713742	720891	7088	False	60
75	723b4c99-99fb-475b-b40a-a5133e9c9b54	chr16	714162	720269	6106	False	60
76	347e169b-f358-4465-a1f4-ea2fa6a0b09b	chr16	714549	726877	12317	False	60
77	3840e358-ea82-4c19-8deb-3b8b2ea22628	chr16	714632	726407	11782	True	60
78	969aae52-d562-4986-9f08-cdce4b921ecd	chr16	714659	715294	642	True	60
79	4373367a-a029-47ec-823e-d088024782d9	chr16	714701	732623	17289	False	60
80	0014f709-5ed9-4408-a86e-5bdbe29fc178	chr16	714715	732614	17037	True	60
81	eedff2cf-8fbe-428d-b08c-4ecdfc90c4e1	chr16	716415	719234	2725	False	60
82	1bedbbab-ae3f-477b-888c-59bd930395ee	chr16	716856	723408	6556	True	60
83	a72c6405-91a6-49b9-ad8a-3710564cc9ba	chr16	716901	742964	24818	False	60
84	de7f6946-0e51-445d-9b05-15c5619ece20	chr16	717511	722559	5030	False	60
85	d5f32555-b55c-453f-9a36-aa649c9106a6	chr16	717654	724753	7051	True	60
86	fbb9cae5-804d-43ec-a726-e1168344a9e6	chr16	717655	724744	7067	False	60
87	c3d8992a-ea8c-42e4-b542-08fe8da4cf82	chr16	717955	721687	3722	False	60
88	de4c3d9a-a48a-44b8-846b-9bfa4b1374ff	chr16	718044	725399	7325	False	60
89	4cb272e9-0f14-4ede-9e96-def6de24e4b6	chr16	719362	731156	11741	False	60
90	ff924095-140e-4d23-8f16-464cb370d9aa	chr16	719420	724905	5455	False	60
91	26c2f998-0087-49da-8d89-64d81d3aa9b3	chr16	719547	725886	6289	True	60
92	f14829ff-89b9-403d-abc7-7945104b7d8e	chr16	719593	723748	4153	False	60
93	c625e46d-d4c1-4650-ae80-3bb077750720	chr16	720028	720910	899	True	60
94	bc186ef9-4980-47ac-88bc-10a645c058fb	chr16	720172	742415	22198	False	60
95	b3f7e3cc-b054-412a-9837-5151af5eac6f	chr16	721203	726872	5698	False	60
96	9c151217-8457-4ccf-865d-bc8379b0d531	chr16	722437	726769	4237	False	60
97	055c7cb7-938e-48a8-96bc-dd8abc7bc328	chr16	723120	729057	5953	True	60
98	fe954a71-4a25-4cb3-afd7-d53e743b0e09	chr16	723172	727510	4332	False	60
99	abda3e9e-0266-4a5d-8948-ed03480eac1d	chr16	723180	727510	4326	True	60
100	0cd01206-4e95-45f9-b9e7-2ad910452ccd	chr16	723367	723677	310	False	60
101	9d7d4b37-d823-456c-9663-8c366fa94410	chr16	723371	744246	20693	True	60
102	ea8bf5c5-e8e9-410c-9c4e-7e462f75b94e	chr16	723581	730468	6686	True	60
103	d34cf4c0-bb06-41ae-8e98-1ebdd665a5d5	chr16	723618	736023	12316	False	60
104	df27cdbd-b7b9-429b-9b2d-b2548ecf4de8	chr16	724076	736933	12484	True	60
105	35ee02e5-3bdb-407e-90de-49929c5aed89	chr16	725049	731647	6512	False	60
106	0cd3c77b-4057-4079-ad58-780413583224	chr16	725080	731954	6838	False	60
107	13cac2e5-8840-4b8e-a619-325ba7264fa9	chr16	725359	734007	8635	False	60
108	e5e1535c-b282-4b38-860d-d463f5e5a976	chr16	725458	741800	16301	True	60
109	eb6ed89f-b5bb-45b5-ba18-3c31c4a5e394	chr16	725719	733623	7650	True	60
110	ebf648dc-28bd-42d2-94c8-ff23a116ee39	chr16	725877	736103	10268	True	60
111	a189fe74-b618-4ce0-b7c0-10cc1ef2635b	chr16	726173	732059	5817	False	60
112	b05bd42e-8270-45b8-ac48-026d3a7ca478	chr16	726435	741961	14702	True	60
113	f5cb889b-afcf-4b77-9746-9e5ddb569329	chr16	726508	740432	13890	False	60
114	0b4dcdd7-781f-4b3a-af6e-c347cb48ce14	chr16	726811	732987	6219	True	60
115	783bce82-33c3-44e5-bde7-1d53109bda69	chr16	727716	741616	13721	True	60
116	9c8e96d1-ff1a-4aa0-80ec-09c7b6a03823	chr16	728021	733395	5239	True	60
117	d0942d2f-bc37-458d-9708-eeee760def66	chr16	729484	741158	11444	True	60
118	ae285ddf-4aab-4b7d-a466-dcf6533a5b92	chr16	730310	744527	14262	False	60
119	7b50deac-6196-4dac-80d2-0709ceeecaa8	chr16	730348	740351	10057	False	60
120	1d8b0a63-9f54-4934-83c7-7dbe97ccbbf8	chr16	730833	735344	4513	True	60
121	867d61d3-47d6-4d62-8688-bc5514976001	chr16	730942	737975	6875	False	60
122	623e1765-3d27-4a9f-b41d-d5b5422ec477	chr16	730984	740895	9909	True	60
123	dd7537f3-60b8-4651-866f-30a8c8961f80	chr16	730987	740850	9815	False	60
124	aea4fbaa-8542-45c2-9702-bfbae9811a07	chr16	732447	736248	3795	True	60
125	aa1c74ed-20c9-4803-bc70-61da585d953b	chr16	732718	761683	28969	True	60
126	bfc51c4c-ff9c-48b7-b98d-9c246e40f8c8	chr16	732830	738347	5507	True	60
127	a170928b-fcf3-427c-a4eb-ba7afd8ad7dc	chr16	733640	757252	22803	True	60
128	88d77df6-1563-4d35-bd90-d9adca140f2e	chr16	733860	745906	11425	True	30
129	65fede40-2132-44ec-b4ba-52367b38b255	chr16	734036	735547	1662	True	60
130	e4402899-f963-4c39-addf-3e5ba3d8e374	chr16	734251	741154	6547	True	60
131	312f7006-c304-4be8-a00f-99760fff4869	chr16	734323	739097	4796	True	60
132	f0b1d6a6-75b0-4be2-be14-dce5fbe31e2a	chr16	735783	750753	14639	True	60
133	a7fbe717-ad72-4bec-9c2b-0bd469d36952	chr16	735942	749267	13002	False	60
134	751844a4-d056-4e38-970b-901cf9a882f8	chr16	736065	740088	4026	True	60
135	60c4f98b-e92f-488b-b1d7-bf5b04823fd6	chr16	736077	743272	7214	True	60
136	0be07cb2-76eb-4d02-93b4-024b7359cb76	chr16	736139	742426	6304	False	60
137	15ff974b-6a30-449d-ab8e-ba44965824ba	chr16	736195	748153	11840	False	60
138	280e809d-b1a0-435c-81f5-dc5c528c5f17	chr16	736315	744284	7922	False	60
139	2f9b3d0c-3688-40ee-81a8-9752521c1098	chr16	736373	747149	10669	True	60
140	c0140cb7-c5fc-4f54-9026-05f7908ff4fc	chr16	736505	767478	30254	False	60
141	9516fed9-0122-42ad-9dc1-fa106b492762	chr16	736549	751568	15002	False	60
142	63d2c0a8-4c1a-4065-a4e0-ab330a8d1f4d	chr16	736950	740157	3250	True	60
143	9af35069-a5be-4073-a591-dc2bf3ae1292	chr16	737157	743651	6505	False	60
144	aa7255b8-de99-4917-91fc-6fa799ce8966	chr16	737239	753834	16511	False	60
145	b6608195-830a-47c0-88f4-3d1aa724f0ae	chr16	737296	743428	6095	True	60
146	633367ba-bfed-4b35-a2fa-d882b04e8a67	chr16	737315	749697	12128	True	60
