epoch	train_5mC_loss	val_5mC_loss
1	0.6081431044	0.6102755409
2	0.5992175195	0.6069469634
3	0.5968446975	0.6161698249
4	0.5932712429	0.6354961045
5	0.5876291306	0.6038610965
6	0.5859199416	0.6108357960
7	0.5851484947	0.6108264088
8	0.5893591862	0.6124370727
9	0.5864709300	0.6058381428
10	0.5824950334	0.6054263058
