row_idx	read_id	chrom	alignment_start	alignment_end	read_length	is_reverse	mapq
0	b71e7f06-2017-4ce2-a05e-cbb387950ea2	chr11	770771	803661	32660	True	60
1	e6aa0630-abf0-48ee-90f1-1c6a7abc221d	chr11	774350	801676	27203	True	60
2	21cfc9b8-6f1b-4f9b-a82d-7507f534c668	chr11	780906	800077	19121	False	60
3	5425a93e-ba5c-4b73-ac85-54b74b22cba2	chr11	782633	801554	18960	True	60
4	1b66191a-c6d8-403c-896a-1617a5d686a1	chr11	784583	800584	15717	True	60
5	d8d43c25-c84b-49bb-b02a-bf68b64a9214	chr11	785684	817920	32162	True	60
6	c9f7e2a6-776d-43b7-a799-39892a9e2ad3	chr11	786177	800639	13883	True	60
7	22923605-f8fc-46a3-ae7d-56884f92604b	chr11	787004	801273	13902	False	60
8	5e976fea-4d05-4798-a5db-e953d8dd44f5	chr11	790476	821897	31153	False	60
9	5ad1e820-7638-41b0-ab04-42a5acb63d2c	chr11	790566	805521	14948	True	60
10	86f56f0e-e4f6-4828-8df1-512ddf230a96	chr11	792136	800014	7864	False	60
11	19637800-7ade-4b0f-8f79-1bd683fdf75e	chr11	792177	820232	28046	False	60
12	fe27e609-0704-4503-8ba5-3ef217a68d96	chr11	793988	806364	17780	True	60
13	bc6f649e-eb25-41dc-b5aa-e820b40ac445	chr11	796644	800372	3679	False	60
14	f8879dee-b947-40f0-8819-8e9c3afa1204	chr11	796651	800457	3736	True	60
15	51502f73-566e-4727-a417-04f98d4b4768	chr11	796738	804484	7747	False	60
16	7c85d086-642d-4df2-b0ac-dfec746aca96	chr11	796738	804483	7728	True	60
17	c698cbc3-3f4e-45ed-8247-758f286e8c49	chr11	796943	801546	4617	True	60
18	a4143180-3ca7-40e5-a008-578d75740413	chr11	797023	800447	3412	False	60
19	705929d7-05e0-4874-8c17-139b5364b1c9	chr11	797722	812326	14597	True	60
20	49092a64-b858-43e8-b95e-608147030952	chr11	798122	808124	10011	False	60
21	a54239cf-6196-4e2b-9a64-10626089ff4e	chr11	798125	805800	7618	True	60
22	a5546185-6b31-4b3b-bdad-42e92f1567e4	chr11	798871	806762	7616	False	60
23	c2d7e336-f6e3-4a10-9d6d-47bc534758a1	chr11	798973	806082	7125	False	60
24	22adfcd7-ca1e-4737-a8cc-196ed63f8a7a	chr11	799133	809703	10575	True	60
25	036b7299-2770-4c84-a854-199a6097a7dd	chr11	800318	804182	3982	False	60
26	9d2d3de0-d2f2-4332-a515-89dae729c644	chr11	800486	806729	6196	True	60
27	f42a0ba3-aae4-449d-a933-61f22bdd1aa1	chr11	800889	807305	6108	True	60
28	81714017-ad8b-4daa-b3ef-880adc2b7e14	chr11	801085	822504	21361	False	60
29	514dbd85-812b-402f-ae17-bcf40854a525	chr11	801199	802497	1316	True	60
30	305325be-2d7b-4c69-819f-1111f30b040b	chr11	801441	823859	22437	False	60
31	01ba8eea-8cbd-4239-a0b8-e4a103334e54	chr11	801443	823859	22223	True	60
32	37100e4b-8c6f-4080-9639-def67bcc7fd1	chr11	802495	806774	4230	False	60
33	368f9e92-653f-4658-a984-59b560a2a72d	chr11	802500	806775	4145	True	60
34	cdac22e4-b54e-41c3-9bb3-577b0badf90c	chr11	802566	817135	14570	True	60
35	86e31e34-8816-471a-a1aa-9f71b87222b4	chr11	803740	812423	8706	True	60
36	bc622163-a523-4ee0-96fb-9f6dfc910006	chr11	804280	808217	3833	False	32
37	1c4d0c8d-a62d-42bc-b9d8-754241f6d62e	chr11	804280	808212	3787	True	41
38	df3ed455-ba14-41be-95c6-3817b1738ee2	chr11	805101	815031	9912	True	60
39	087d0a37-8b8c-4f30-85f6-aaf1ba13b7ff	chr11	805850	810765	4953	False	60
40	d9bb775f-1c3d-40cb-9f67-7412db2a7381	chr11	806547	807606	1070	True	60
41	38a01487-55b6-48d2-a9af-1a67d7837867	chr11	806615	816893	10266	True	60
42	baa72e96-3481-4766-8b5d-b2f637a3f810	chr11	806837	816638	9769	True	60
43	af0469f3-82d6-4093-9d3b-575db5176bf8	chr11	807399	812101	4694	False	60
44	ef0c8466-6be3-401e-9b59-c8b82b2d08a1	chr11	807740	812197	4405	True	60
45	911694be-d983-447f-923d-76baf3b7e90f	chr11	808119	825109	16129	False	60
46	9371dfdc-66c1-4c33-945a-129eaeb9838b	chr11	808386	823564	15167	True	60
47	4b8d8c64-e4ce-49cf-bf72-ba2e468b06f1	chr11	808489	822980	14472	True	60
48	f3fc527c-f0b5-4112-91aa-5126a9ee1461	chr11	808893	814072	5134	False	60
49	93e094de-6257-40fe-b996-7aec7be4fa50	chr11	808983	841045	32077	True	60
50	d1dc6988-5779-47a8-b8a9-08b8d8c84fbc	chr11	64173054	64204672	31371	True	60
51	78b7f3b4-255e-412a-81af-0e3b6c1dc2df	chr11	64174023	64204048	30010	True	60
52	61013600-3182-48a1-955f-6a39203f4111	chr11	64174729	64201101	26304	False	60
53	daa94983-3659-49c9-b7d0-b1b497cc38b1	chr11	64176812	64207285	30402	False	60
54	f6d78dc0-2b18-4ace-8263-d57e695f18b7	chr11	64180811	64204148	23272	True	60
55	7069b975-7a40-4fdf-bbbc-79acbcf793e4	chr11	64180911	64200753	19438	True	60
56	a31ae2f6-8e32-40ff-b5c9-5fea1ca25d6b	chr11	64181537	64206086	24447	True	60
57	ef93b82d-bde9-4111-bc40-964958fd04bb	chr11	64186010	64200618	14225	False	60
58	7ff3c53e-c557-4869-9cb7-2451ab91a67b	chr11	64186082	64205568	18974	True	60
59	a6ae0407-47e7-4a23-bed0-5018bdd1652f	chr11	64186120	64205510	18903	False	60
60	4456f891-1cd2-4803-9081-e00e0f5612d9	chr11	64187277	64203962	16701	True	60
61	c0eeb967-883d-4a38-809e-4d68556138ae	chr11	64188851	64206282	17393	False	60
62	c1d0ddd0-b3d9-4a9f-911c-5d0943a3165a	chr11	64189382	64206845	17422	True	60
63	07345215-244f-42f0-b449-9ec0e6067672	chr11	64189438	64207766	18278	True	60
64	8e8952f7-09df-48f1-91cd-ca0f30f063ad	chr11	64191208	64201701	10492	True	60
65	e4119e39-9e89-45f9-be0d-2ced7884f3a1	chr11	64192883	64217690	23737	False	45
66	75d783fb-715a-46f5-9663-c85477faf889	chr11	64193691	64201374	7680	False	60
67	e49fcc94-bfcf-4128-998b-08caf4b9b375	chr11	64193908	64202225	8323	False	60
68	7ad1dbc8-7147-498a-9818-38c836241245	chr11	64195999	64209184	13093	False	60
69	a97e67df-88f4-455a-867b-e90b3c8ecd1e	chr11	64196106	64206529	10420	True	60
70	a6e10a79-86a8-4c05-90c7-92590ddd3b80	chr11	64196124	64204574	8451	True	60
71	45ad9647-392f-4867-9288-6e4cfb34fb6f	chr11	64196771	64205372	8622	True	60
72	0a4436c7-5817-4c45-9e21-6577512f2709	chr11	64197405	64223587	26019	True	60
73	bd0c1a6c-ad7e-4782-a479-e96cdb1d354d	chr11	64197559	64215629	17962	True	60
74	d5a5d91c-b47d-4949-9cb0-f8b9bc6deb1e	chr11	64197614	64208318	10728	False	60
75	62f3e2c6-c2a0-4785-8c89-243f604a0b5e	chr11	64199711	64215958	16219	True	60
76	40078f20-4ce4-4ac0-b7db-6f1e92d3536c	chr11	64199914	64205227	5078	True	60
77	7e73c8bf-d91c-4d92-afdd-3cd829f59501	chr11	64200094	64204228	4158	False	60
78	9ad8f57c-7e8c-43ba-b649-22f9913e4b42	chr11	64200236	64205785	5548	False	60
79	0b0d5671-8c22-4099-91e7-4d1d86f39c10	chr11	64201053	64233181	32071	False	60
80	a49a7ab2-7576-48be-afe6-092a9fb59a62	chr11	64201455	64213384	11886	True	60
