window_id	chrom	start	end	split	mark	target_base	npz_path	known_frac	methylated_frac_known	n_reads_used
chr1:0-1000000	chr1	0	1000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_0_1000000.npz	0.237861	0.000383	4262
chr1:1000000-2000000	chr1	1000000	2000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_1000000_2000000.npz	0.240215	0.000229	4358
chr1:2000000-3000000	chr1	2000000	3000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_2000000_3000000.npz	0.277102	0.000040	3956
chr1:3000000-4000000	chr1	3000000	4000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_3000000_4000000.npz	0.238742	0.000239	4230
chr1:4000000-5000000	chr1	4000000	5000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_4000000_5000000.npz	0.221185	0.000041	4194
chr1:5000000-6000000	chr1	5000000	6000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_5000000_6000000.npz	0.242547	0.000165	4288
chr1:6000000-7000000	chr1	6000000	7000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_6000000_7000000.npz	0.213295	0.000009	4341
chr1:7000000-8000000	chr1	7000000	8000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_7000000_8000000.npz	0.215221	0.000121	4442
chr1:8000000-9000000	chr1	8000000	9000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_8000000_9000000.npz	0.213627	0.000183	4643
chr1:9000000-10000000	chr1	9000000	10000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_9000000_10000000.npz	0.201689	0.000288	4580
chr1:10000000-11000000	chr1	10000000	11000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_10000000_11000000.npz	0.221411	0.000194	4367
chr1:11000000-12000000	chr1	11000000	12000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_11000000_12000000.npz	0.223701	0.000152	4449
chr1:12000000-13000000	chr1	12000000	13000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_12000000_13000000.npz	0.215245	0.000102	4561
chr1:13000000-14000000	chr1	13000000	14000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_13000000_14000000.npz	0.198646	0.000035	4557
chr1:14000000-15000000	chr1	14000000	15000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_14000000_15000000.npz	0.223073	0.000009	4439
chr1:15000000-16000000	chr1	15000000	16000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_15000000_16000000.npz	0.225163	0.000155	4610
chr1:16000000-17000000	chr1	16000000	17000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_16000000_17000000.npz	0.222734	0.000045	5953
chr1:17000000-18000000	chr1	17000000	18000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_17000000_18000000.npz	0.231741	0.000121	4207
chr1:18000000-19000000	chr1	18000000	19000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_18000000_19000000.npz	0.238119	0.000000	4290
chr1:19000000-20000000	chr1	19000000	20000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_19000000_20000000.npz	0.217127	0.000170	4389
chr1:20000000-21000000	chr1	20000000	21000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_20000000_21000000.npz	0.212666	0.000033	4472
chr1:21000000-22000000	chr1	21000000	22000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_21000000_22000000.npz	0.220640	0.000186	4550
chr1:22000000-23000000	chr1	22000000	23000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_22000000_23000000.npz	0.222999	0.000049	4461
chr1:23000000-24000000	chr1	23000000	24000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_23000000_24000000.npz	0.215657	0.000130	4836
chr1:24000000-25000000	chr1	24000000	25000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_24000000_25000000.npz	0.219354	0.000114	4835
chr1:25000000-26000000	chr1	25000000	26000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_25000000_26000000.npz	0.218436	0.000151	4415
chr1:26000000-27000000	chr1	26000000	27000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_26000000_27000000.npz	0.218612	0.000105	4512
chr1:27000000-28000000	chr1	27000000	28000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_27000000_28000000.npz	0.215515	0.000167	4692
chr1:28000000-29000000	chr1	28000000	29000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_28000000_29000000.npz	0.201975	0.000475	4597
chr1:29000000-30000000	chr1	29000000	30000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_29000000_30000000.npz	0.229875	0.000061	4323
chr1:30000000-31000000	chr1	30000000	31000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_30000000_31000000.npz	0.229122	0.000048	4455
chr1:31000000-32000000	chr1	31000000	32000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_31000000_32000000.npz	0.220507	0.000082	4628
chr1:32000000-33000000	chr1	32000000	33000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_32000000_33000000.npz	0.218138	0.000110	4687
chr1:33000000-34000000	chr1	33000000	34000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_33000000_34000000.npz	0.217149	0.000037	4544
chr1:34000000-35000000	chr1	34000000	35000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_34000000_35000000.npz	0.214632	0.000028	4385
chr1:35000000-36000000	chr1	35000000	36000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_35000000_36000000.npz	0.197318	0.000076	4847
chr1:36000000-37000000	chr1	36000000	37000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_36000000_37000000.npz	0.226663	0.000088	4447
chr1:37000000-38000000	chr1	37000000	38000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_37000000_38000000.npz	0.224201	0.000058	4578
chr1:38000000-39000000	chr1	38000000	39000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_38000000_39000000.npz	0.210279	0.000185	4426
chr1:39000000-40000000	chr1	39000000	40000000	train	h3k27ac	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k27ac_C/h3k27ac_C_labels/chr1_39000000_40000000.npz	0.204100	0.000147	4467
