row_idx	read_id	chrom	alignment_start	alignment_end	read_length	is_reverse	mapq	region_id	region_name	split	sample	sample_id
0	4e7f7f36-3fc8-4911-aaa6-999012b60c82	chr11	785660	818125	31329	False	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
1	30bc5bac-fc97-4353-935c-f1769f4ae1fb	chr11	790643	811577	20477	True	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
2	ef64b607-fd9e-4bb3-a968-bbeefdd348db	chr11	790695	809738	18732	False	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
3	807b9fb6-17cb-4e1a-951b-52dc75a7724b	chr11	793438	810046	16339	False	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
4	1e40e82b-9c46-425d-9fea-af3f9a16f396	chr11	793614	812804	19113	True	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
5	4f3fdec6-656b-478f-ba0d-4a16c6fd580d	chr11	794054	807578	13493	True	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
6	f2935080-af5b-4a34-bc81-873cfe8694a5	chr11	795657	812419	16634	False	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
7	21aabc30-bbfb-46d2-9286-adb68563572a	chr11	795808	807648	11802	True	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
8	fb744de0-baf2-4ecf-b72c-4ec92beb7e3c	chr11	796705	806846	10138	False	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
9	63e3f617-a24f-4468-ab4d-6a9b8f99cc37	chr11	797288	802995	5593	True	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
10	9808111a-4e36-4192-bebd-71666eb4c931	chr11	798827	827373	27748	False	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
11	9ec4eddb-463b-443a-bdc2-6eaef47fcca6	chr11	799267	806570	7103	True	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
12	a9e7d759-5737-47c8-8621-d442f0fd4f44	chr11	799435	816183	16457	True	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
13	8f83092d-dbd8-4f13-b936-7aae128eb125	chr11	799460	807389	7796	False	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
14	667623fc-3389-422f-bc43-6b65fa5b20fe	chr11	799530	808699	9222	False	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
15	f3586c98-fa33-4b1e-af77-8618bc77a25f	chr11	799553	816764	17186	False	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
16	18633934-b8e8-4ace-9965-2767a28a6832	chr11	799679	821482	21628	False	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
17	d30a82d5-86fa-476b-bf14-50c1c162d934	chr11	799907	816531	16304	True	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
18	27846733-e401-493f-8462-23f39bb8c47e	chr11	799959	801870	1915	False	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
19	619651e4-6998-42eb-aa5a-ab1570d1234d	chr11	800215	806267	6002	True	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
20	65a3f4e9-3ff5-4fea-93f4-dd1a069c60bf	chr11	800546	824603	24060	False	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
21	6957f0d9-fdb3-419a-8345-3a7eef700e88	chr11	800863	803973	3112	True	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
22	809ea5fe-d737-4eb1-9bf9-fe8e2cd4e3bb	chr11	800974	810254	9270	True	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
23	8d95bfb7-3d21-44b4-aa05-f5b0219ab581	chr11	801105	812977	11942	True	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
24	476689b9-1a83-4a36-ad44-5b87336a2715	chr11	801226	801833	595	True	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
25	758f2b68-f7c1-4094-a879-a92749687677	chr11	801670	813405	11648	True	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
26	13166a77-3124-4259-855e-a8de046bc925	chr11	802132	816553	14484	True	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
27	ddff6ca2-1510-474d-b164-da52f5b707d7	chr11	802472	816659	14179	False	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
28	b86a7ca9-2c88-4dc9-ac9b-5e4e7e1a5b36	chr11	802556	808001	5085	True	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
29	65168d5f-9780-4c09-8bad-d35d7cb7ade6	chr11	802821	816214	12654	False	39	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
30	e5aeec48-9308-48bf-8da7-3f9640b7c24b	chr11	803138	809000	5862	False	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
31	8269de75-204b-4fdf-b432-56490bcfa2b7	chr11	803138	809000	5802	True	60	0	chr16_rank1_score6.530_reads411	train	merged_e5b	0
