row_idx	read_id	chrom	alignment_start	alignment_end	read_length	window_start	window_end	window_length	is_reverse	mapq	region_id	region_name	split	sample	sample_id
0	932e659a-5536-4e7e-9fc9-347dac460184	chr16	666649	702804	35259	0	32768	32768	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
1	932e659a-5536-4e7e-9fc9-347dac460184	chr16	666649	702804	35259	2491	35259	32768	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
2	932e659a-5536-4e7e-9fc9-347dac460184	chr16	666649	702804	35259	16384	35259	18875	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
3	932e659a-5536-4e7e-9fc9-347dac460184	chr16	666649	702804	35259	32768	35259	2491	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
4	6860bc7f-c3c5-4c5f-8787-ecf9ad958b81	chr16	672867	712580	39765	0	32768	32768	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
5	6860bc7f-c3c5-4c5f-8787-ecf9ad958b81	chr16	672867	712580	39765	6997	39765	32768	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
6	6860bc7f-c3c5-4c5f-8787-ecf9ad958b81	chr16	672867	712580	39765	16384	39765	23381	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
7	6860bc7f-c3c5-4c5f-8787-ecf9ad958b81	chr16	672867	712580	39765	32768	39765	6997	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
8	6716f742-d9ed-4c16-a260-4f069a33b9eb	chr16	674356	701614	27315	0	27315	27315	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
9	e7a44f2d-9ad8-4eb8-b79c-ec8da25c3341	chr16	674741	701250	26300	0	26300	26300	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0
10	9b847eb1-d17b-42d1-b5d6-d7df40398e3a	chr16	3075254	3142577	67321	0	32768	32768	False	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0
11	ab451194-c565-4c5f-acce-a980381ff810	chr16	4266840	4330354	63281	0	32768	32768	False	60	34	chr16_rank35_score2.576_reads501	train	merged_e5b	0
12	ab451194-c565-4c5f-acce-a980381ff810	chr16	4266840	4330354	63281	16384	49152	32768	False	60	34	chr16_rank35_score2.576_reads501	train	merged_e5b	0
13	ab451194-c565-4c5f-acce-a980381ff810	chr16	4266840	4330354	63281	30513	63281	32768	False	60	34	chr16_rank35_score2.576_reads501	train	merged_e5b	0
14	ab451194-c565-4c5f-acce-a980381ff810	chr16	4266840	4330354	63281	32768	63281	30513	False	60	34	chr16_rank35_score2.576_reads501	train	merged_e5b	0
15	ab451194-c565-4c5f-acce-a980381ff810	chr16	4266840	4330354	63281	49152	63281	14129	False	60	34	chr16_rank35_score2.576_reads501	train	merged_e5b	0
