row_idx	read_id	chrom	alignment_start	alignment_end	read_length	window_start	window_end	window_length	is_reverse	mapq
0	932e659a-5536-4e7e-9fc9-347dac460184	chr16	666649	702804	35259	0	32768	32768	False	60
1	932e659a-5536-4e7e-9fc9-347dac460184	chr16	666649	702804	35259	2491	35259	32768	False	60
2	932e659a-5536-4e7e-9fc9-347dac460184	chr16	666649	702804	35259	16384	35259	18875	False	60
3	932e659a-5536-4e7e-9fc9-347dac460184	chr16	666649	702804	35259	32768	35259	2491	False	60
4	6860bc7f-c3c5-4c5f-8787-ecf9ad958b81	chr16	672867	712580	39765	0	32768	32768	False	60
5	6860bc7f-c3c5-4c5f-8787-ecf9ad958b81	chr16	672867	712580	39765	6997	39765	32768	False	60
6	6860bc7f-c3c5-4c5f-8787-ecf9ad958b81	chr16	672867	712580	39765	16384	39765	23381	False	60
7	6860bc7f-c3c5-4c5f-8787-ecf9ad958b81	chr16	672867	712580	39765	32768	39765	6997	False	60
8	6716f742-d9ed-4c16-a260-4f069a33b9eb	chr16	674356	701614	27315	0	27315	27315	True	60
9	e7a44f2d-9ad8-4eb8-b79c-ec8da25c3341	chr16	674741	701250	26300	0	26300	26300	False	60
10	5e7cf555-0252-46cc-958e-2043015117c4	chr16	3061921	3104132	42077	0	32768	32768	True	60
11	5e7cf555-0252-46cc-958e-2043015117c4	chr16	3061921	3104132	42077	9309	42077	32768	True	60
12	5e7cf555-0252-46cc-958e-2043015117c4	chr16	3061921	3104132	42077	16384	42077	25693	True	60
13	5e7cf555-0252-46cc-958e-2043015117c4	chr16	3061921	3104132	42077	32768	42077	9309	True	60
14	7d0b1675-53af-4b25-a5a4-9de00c07c4f6	chr16	3064147	3123600	59328	0	32768	32768	False	60
15	7d0b1675-53af-4b25-a5a4-9de00c07c4f6	chr16	3064147	3123600	59328	16384	49152	32768	False	60
16	7d0b1675-53af-4b25-a5a4-9de00c07c4f6	chr16	3064147	3123600	59328	26560	59328	32768	False	60
17	7d0b1675-53af-4b25-a5a4-9de00c07c4f6	chr16	3064147	3123600	59328	32768	59328	26560	False	60
18	7d0b1675-53af-4b25-a5a4-9de00c07c4f6	chr16	3064147	3123600	59328	49152	59328	10176	False	60
19	9b847eb1-d17b-42d1-b5d6-d7df40398e3a	chr16	3075254	3142577	67321	0	32768	32768	False	60
20	82e06935-9650-4087-930f-ceb76ac0245d	chr16	558647	604527	46427	0	32768	32768	True	60
21	82e06935-9650-4087-930f-ceb76ac0245d	chr16	558647	604527	46427	13659	46427	32768	True	60
22	82e06935-9650-4087-930f-ceb76ac0245d	chr16	558647	604527	46427	16384	46427	30043	True	60
23	82e06935-9650-4087-930f-ceb76ac0245d	chr16	558647	604527	46427	32768	46427	13659	True	60
24	4e740284-d1a4-4388-b59b-c5c7be813ae3	chr16	570020	601566	32130	0	32130	32130	False	60
25	3ab1201b-0230-411b-b362-c797a7493c27	chr16	570685	603491	33176	0	32768	32768	False	60
26	3ab1201b-0230-411b-b362-c797a7493c27	chr16	570685	603491	33176	408	33176	32768	False	60
27	3ab1201b-0230-411b-b362-c797a7493c27	chr16	570685	603491	33176	16384	33176	16792	False	60
28	3ab1201b-0230-411b-b362-c797a7493c27	chr16	570685	603491	33176	32768	33176	408	False	60
29	f405ca13-7265-4e8f-b71b-8eae09008afe	chr16	570687	603491	33227	0	32768	32768	True	60
30	0eb5fdc5-b680-4501-957f-ca7e1f1524e7	chr16	2065686	2103234	35646	0	32768	32768	False	60
31	0eb5fdc5-b680-4501-957f-ca7e1f1524e7	chr16	2065686	2103234	35646	2878	35646	32768	False	60
32	0eb5fdc5-b680-4501-957f-ca7e1f1524e7	chr16	2065686	2103234	35646	16384	35646	19262	False	60
33	0eb5fdc5-b680-4501-957f-ca7e1f1524e7	chr16	2065686	2103234	35646	32768	35646	2878	False	60
34	8f7fdadf-1bb3-45e0-af45-269ab9e9ba52	chr16	2066149	2105061	39257	0	32768	32768	True	60
35	8f7fdadf-1bb3-45e0-af45-269ab9e9ba52	chr16	2066149	2105061	39257	6489	39257	32768	True	60
36	8f7fdadf-1bb3-45e0-af45-269ab9e9ba52	chr16	2066149	2105061	39257	16384	39257	22873	True	60
37	8f7fdadf-1bb3-45e0-af45-269ab9e9ba52	chr16	2066149	2105061	39257	32768	39257	6489	True	60
38	ebeeafd4-0511-40f4-afb2-58b5c6fbea91	chr16	2066239	2105054	39061	0	32768	32768	True	60
39	ebeeafd4-0511-40f4-afb2-58b5c6fbea91	chr16	2066239	2105054	39061	6293	39061	32768	True	60
40	ab451194-c565-4c5f-acce-a980381ff810	chr16	4266840	4330354	63281	0	32768	32768	False	60
41	ab451194-c565-4c5f-acce-a980381ff810	chr16	4266840	4330354	63281	16384	49152	32768	False	60
42	ab451194-c565-4c5f-acce-a980381ff810	chr16	4266840	4330354	63281	30513	63281	32768	False	60
43	ab451194-c565-4c5f-acce-a980381ff810	chr16	4266840	4330354	63281	32768	63281	30513	False	60
44	ab451194-c565-4c5f-acce-a980381ff810	chr16	4266840	4330354	63281	49152	63281	14129	False	60
45	5190cc30-0df1-4488-86f7-eed9f84762cb	chr16	4267339	4309101	40928	0	32768	32768	True	60
46	5190cc30-0df1-4488-86f7-eed9f84762cb	chr16	4267339	4309101	40928	8160	40928	32768	True	60
47	5190cc30-0df1-4488-86f7-eed9f84762cb	chr16	4267339	4309101	40928	16384	40928	24544	True	60
48	5190cc30-0df1-4488-86f7-eed9f84762cb	chr16	4267339	4309101	40928	32768	40928	8160	True	60
49	89867c28-56a5-451f-b449-03888f8d1dd0	chr16	4279842	4306414	28409	0	28409	28409	True	60
50	94b147cd-e629-4b4f-9ca9-1f15c03260e4	chr16	2857482	2928644	76632	0	32768	32768	False	60
