row_idx	read_id	chrom	alignment_start	alignment_end	read_length	window_start	window_end	window_length	is_reverse	mapq
0	73b8ba84-3623-49b8-943c-c5a9bf57455c	chr16	36311158	36318444	7608	0	7608	7608	False	60
1	4154bf13-ece6-486d-916b-e39eab97682a	chr16	36311158	36324766	13726	0	13726	13726	False	44
2	cb82980d-5812-42bd-9456-a04217281f77	chr16	36311158	36321887	10286	0	10286	10286	False	35
3	79b81787-c66c-4f0a-a4d7-f1d3dc44e306	chr16	36311158	36332738	35763	0	32768	32768	False	53
4	79b81787-c66c-4f0a-a4d7-f1d3dc44e306	chr16	36311158	36332738	35763	2995	35763	32768	False	53
5	79b81787-c66c-4f0a-a4d7-f1d3dc44e306	chr16	36311158	36332738	35763	16384	35763	19379	False	53
6	79b81787-c66c-4f0a-a4d7-f1d3dc44e306	chr16	36311158	36332738	35763	32768	35763	2995	False	53
7	2174c617-f2b1-427a-b7fe-18ba77cde349	chr16	36311158	36318380	6341	0	6341	6341	False	60
8	1154fbf1-545f-4c48-bd42-90a91edde194	chr16	36311158	36318445	7585	0	7585	7585	True	60
9	40aacb1f-e182-4a77-8745-98ac77f886e4	chr16	36311158	36322095	10256	0	10256	10256	True	60
10	a71bf757-7e93-41c2-b78f-a223133e4914	chr16	36311158	36325833	24469	0	24469	24469	True	46
11	a909cafd-187a-4517-977e-a1f0c8a45b10	chr16	36311158	36317561	4694	0	4694	4694	True	56
12	ba81786d-2ea4-412d-b3c5-1cff1fa37553	chr16	36311158	36317729	5511	0	5511	5511	True	58
13	43e37ea9-ce68-4c88-9bca-6da575f5bdaa	chr16	36311158	36333095	17920	0	17920	17920	True	60
14	8c947e7d-9e8b-40f1-968c-b7c385ac275e	chr16	36311158	36324624	13685	0	13685	13685	True	60
15	2a3e4af3-471c-46b6-859d-1c91523a9bc5	chr16	36311158	36320214	7566	0	7566	7566	True	38
16	0ca33c0c-fb2b-4ff7-83b0-e5e9de359e0b	chr16	36311158	36337497	35357	0	32768	32768	True	47
17	0ca33c0c-fb2b-4ff7-83b0-e5e9de359e0b	chr16	36311158	36337497	35357	2589	35357	32768	True	47
18	0ca33c0c-fb2b-4ff7-83b0-e5e9de359e0b	chr16	36311158	36337497	35357	16384	35357	18973	True	47
19	0ca33c0c-fb2b-4ff7-83b0-e5e9de359e0b	chr16	36311158	36337497	35357	32768	35357	2589	True	47
20	10eb6fca-752e-4832-9ec3-3469ac8d0ee4	chr16	36311158	36318823	6708	0	6708	6708	True	60
21	793e63b1-af64-46ee-92c8-46e3c7fc918b	chr16	36311160	36319020	6068	0	6068	6068	False	60
22	873b04ea-2de0-4edc-a906-0ab067e73bc6	chr16	36311167	36331899	13611	0	13611	13611	True	45
23	4725ff65-048b-4ce8-a1d9-4008e3214fc7	chr16	36311178	36326150	41340	0	32768	32768	True	28
24	4725ff65-048b-4ce8-a1d9-4008e3214fc7	chr16	36311178	36326150	41340	8572	41340	32768	True	28
25	4725ff65-048b-4ce8-a1d9-4008e3214fc7	chr16	36311178	36326150	41340	16384	41340	24956	True	28
26	4725ff65-048b-4ce8-a1d9-4008e3214fc7	chr16	36311178	36326150	41340	32768	41340	8572	True	28
27	b1283ac8-43f8-4806-8605-fa1c79b59332	chr16	36311183	36328556	19166	0	19166	19166	False	60
28	a6050647-3edb-4117-b1cb-bacf1bd45dc4	chr16	36311183	36334460	35084	0	32768	32768	False	60
29	a6050647-3edb-4117-b1cb-bacf1bd45dc4	chr16	36311183	36334460	35084	2316	35084	32768	False	60
30	a6050647-3edb-4117-b1cb-bacf1bd45dc4	chr16	36311183	36334460	35084	16384	35084	18700	False	60
31	a6050647-3edb-4117-b1cb-bacf1bd45dc4	chr16	36311183	36334460	35084	32768	35084	2316	False	60
32	13262d6d-0291-4b75-919f-17a619011ebc	chr16	36311183	36329568	25920	0	25920	25920	True	45
33	e5df2c4d-04d2-495d-8271-67face76cab6	chr16	36311183	36337120	31160	0	31160	31160	True	59
34	7564453a-5d83-477e-be45-2761b17fc11c	chr16	36311201	36332738	40722	0	32768	32768	False	23
35	7564453a-5d83-477e-be45-2761b17fc11c	chr16	36311201	36332738	40722	7954	40722	32768	False	23
36	7564453a-5d83-477e-be45-2761b17fc11c	chr16	36311201	36332738	40722	16384	40722	24338	False	23
37	7564453a-5d83-477e-be45-2761b17fc11c	chr16	36311201	36332738	40722	32768	40722	7954	False	23
38	b7dd7206-7313-412b-9350-142cf1f7a64b	chr16	36311242	36331891	26484	0	26484	26484	True	60
