row_idx	read_id	chrom	alignment_start	alignment_end	read_length	is_reverse	mapq	region_id	region_name	split
0	75d2f44c-c786-46c4-bfaa-0e145b33a302	chr11	776410	801098	24624	False	60	6	chr16_rank7_score5.133_reads389	test
1	56faaf2b-238c-47ed-bf74-aecc3e09a3cf	chr11	776664	808046	31210	True	60	6	chr16_rank7_score5.133_reads389	test
2	4e7f7f36-3fc8-4911-aaa6-999012b60c82	chr11	785660	818125	31329	False	60	0	chr16_rank1_score6.530_reads411	train
3	7c801201-46fc-481c-a227-6c997ec6d798	chr11	786208	809622	23328	False	60	6	chr16_rank7_score5.133_reads389	test
4	1081b608-4d7d-4b07-9ec6-05d034dece01	chr11	787712	800451	12642	True	60	6	chr16_rank7_score5.133_reads389	test
5	771eb1ae-7fa8-4f36-b638-1a3d358872a4	chr11	788437	801238	12060	True	60	6	chr16_rank7_score5.133_reads389	test
6	dce2897a-02e5-48b6-9fd0-fe5b2255208c	chr11	789132	808519	19174	True	60	6	chr16_rank7_score5.133_reads389	test
7	30bc5bac-fc97-4353-935c-f1769f4ae1fb	chr11	790643	811577	20477	True	60	0	chr16_rank1_score6.530_reads411	train
8	ef64b607-fd9e-4bb3-a968-bbeefdd348db	chr11	790695	809738	18732	False	60	0	chr16_rank1_score6.530_reads411	train
9	813c48cf-1279-4abd-a908-da1081e5eea0	chr11	790977	801834	10776	False	60	6	chr16_rank7_score5.133_reads389	test
10	688f99cb-d589-4778-8919-f43da72bd75d	chr11	792276	800438	8139	True	60	6	chr16_rank7_score5.133_reads389	test
11	006119a7-9b09-475e-ba32-6ca701ac7047	chr11	793026	804092	11298	True	60	6	chr16_rank7_score5.133_reads389	test
12	c6481339-bd37-45c0-a9e0-3a8e5a986a98	chr11	793314	800038	6742	True	60	6	chr16_rank7_score5.133_reads389	test
13	807b9fb6-17cb-4e1a-951b-52dc75a7724b	chr11	793438	810046	16339	False	60	0	chr16_rank1_score6.530_reads411	train
14	1e40e82b-9c46-425d-9fea-af3f9a16f396	chr11	793614	812804	19113	True	60	0	chr16_rank1_score6.530_reads411	train
15	4f3fdec6-656b-478f-ba0d-4a16c6fd580d	chr11	794054	807578	13493	True	60	0	chr16_rank1_score6.530_reads411	train
16	3856b751-97ba-41ec-9a38-8480a75e534c	chr11	794095	803000	8908	False	60	6	chr16_rank7_score5.133_reads389	test
17	dad5d1e7-41b5-4e73-95a0-e642ca889c6d	chr11	794570	804227	9513	False	60	6	chr16_rank7_score5.133_reads389	test
18	f2935080-af5b-4a34-bc81-873cfe8694a5	chr11	795657	812419	16634	False	60	0	chr16_rank1_score6.530_reads411	train
19	5373bb98-3bc9-41ac-a7c4-edada27714e5	chr11	795780	800067	4277	False	60	6	chr16_rank7_score5.133_reads389	test
20	21aabc30-bbfb-46d2-9286-adb68563572a	chr11	795808	807648	11802	True	60	0	chr16_rank1_score6.530_reads411	train
21	c8064817-8052-4741-97e7-c06c5d468a56	chr11	796320	803189	6854	False	60	6	chr16_rank7_score5.133_reads389	test
22	fb744de0-baf2-4ecf-b72c-4ec92beb7e3c	chr11	796705	806846	10138	False	60	0	chr16_rank1_score6.530_reads411	train
23	63e3f617-a24f-4468-ab4d-6a9b8f99cc37	chr11	797288	802995	5593	True	60	0	chr16_rank1_score6.530_reads411	train
24	ff92a996-170b-4a2c-a2f9-c2744497c695	chr11	798322	801170	2869	True	60	6	chr16_rank7_score5.133_reads389	test
25	9808111a-4e36-4192-bebd-71666eb4c931	chr11	798827	827373	27748	False	60	0	chr16_rank1_score6.530_reads411	train
26	9ec4eddb-463b-443a-bdc2-6eaef47fcca6	chr11	799267	806570	7103	True	60	0	chr16_rank1_score6.530_reads411	train
27	a9e7d759-5737-47c8-8621-d442f0fd4f44	chr11	799435	816183	16457	True	60	0	chr16_rank1_score6.530_reads411	train
28	8f83092d-dbd8-4f13-b936-7aae128eb125	chr11	799460	807389	7796	False	60	0	chr16_rank1_score6.530_reads411	train
29	667623fc-3389-422f-bc43-6b65fa5b20fe	chr11	799530	808699	9222	False	60	0	chr16_rank1_score6.530_reads411	train
30	f3586c98-fa33-4b1e-af77-8618bc77a25f	chr11	799553	816764	17186	False	60	0	chr16_rank1_score6.530_reads411	train
31	18633934-b8e8-4ace-9965-2767a28a6832	chr11	799679	821482	21628	False	60	0	chr16_rank1_score6.530_reads411	train
32	d30a82d5-86fa-476b-bf14-50c1c162d934	chr11	799907	816531	16304	True	60	0	chr16_rank1_score6.530_reads411	train
33	27846733-e401-493f-8462-23f39bb8c47e	chr11	799959	801870	1915	False	60	0	chr16_rank1_score6.530_reads411	train
34	619651e4-6998-42eb-aa5a-ab1570d1234d	chr11	800215	806267	6002	True	60	0	chr16_rank1_score6.530_reads411	train
35	65a3f4e9-3ff5-4fea-93f4-dd1a069c60bf	chr11	800546	824603	24060	False	60	0	chr16_rank1_score6.530_reads411	train
