row_idx	read_id	chrom	alignment_start	alignment_end	read_length	window_start	window_end	window_length	is_reverse	mapq	sample	sample_id
0	add1169d-8043-4832-8af3-82cbfec35c14	chr16	36311158	36324613	85421	0	32768	32768	False	57	merged_e5b	0
1	add1169d-8043-4832-8af3-82cbfec35c14	chr16	36311158	36324613	85421	16384	49152	32768	False	57	merged_e5b	0
2	add1169d-8043-4832-8af3-82cbfec35c14	chr16	36311158	36324613	85421	32768	65536	32768	False	57	merged_e5b	0
3	add1169d-8043-4832-8af3-82cbfec35c14	chr16	36311158	36324613	85421	49152	81920	32768	False	57	merged_e5b	0
4	add1169d-8043-4832-8af3-82cbfec35c14	chr16	36311158	36324613	85421	52653	85421	32768	False	57	merged_e5b	0
5	add1169d-8043-4832-8af3-82cbfec35c14	chr16	36311158	36324613	85421	65536	85421	19885	False	57	merged_e5b	0
6	add1169d-8043-4832-8af3-82cbfec35c14	chr16	36311158	36324613	85421	81920	85421	3501	False	57	merged_e5b	0
7	22f941f4-6dd7-4ec3-ba27-47b849b113e2	chr16	36311158	36328859	11607	0	11607	11607	False	52	merged_e5b	0
8	3d6cfda9-38f3-4b3f-bdc1-2e79510b5ce5	chr16	36311158	36333571	19562	0	19562	19562	False	52	merged_e5b	0
9	20c3aec1-7434-417b-ade6-e68f6e8a53bc	chr16	36311158	36318673	10037	0	10037	10037	False	60	merged_e5b	0
10	94aa4c9b-dad1-458c-8053-17805dee41d0	chr16	36311158	36313678	5377	0	5377	5377	False	56	merged_e5b	0
11	e7d6d7bc-af26-41f2-aef2-016a559eb5cf	chr16	36311158	36318164	9381	0	9381	9381	False	60	merged_e5b	0
12	1dbd554b-eaf7-46ad-9816-d212d62f145e	chr16	36311158	36321682	10289	0	10289	10289	False	60	merged_e5b	0
13	09a877cd-ab39-4941-b912-38579dbf6117	chr16	36311158	36317131	5155	0	5155	5155	False	60	merged_e5b	0
14	730c7207-5e20-411c-b1cd-eae6c532b830	chr16	36311158	36328859	11636	0	11636	11636	True	55	merged_e5b	0
15	0965c3f5-34dc-4807-aff3-7a34f35c6afc	chr16	36311158	36323143	11093	0	11093	11093	True	60	merged_e5b	0
16	6bf130de-977a-49f2-97ef-f4e6097fb8bf	chr16	36311158	36321665	10369	0	10369	10369	True	60	merged_e5b	0
17	03487a1f-8bc6-48e7-aa99-66065e158b63	chr16	36311158	36317802	8988	0	8988	8988	True	49	merged_e5b	0
18	a66f341d-4d8d-4f3f-b10a-df7364b1a0ae	chr16	36311158	36317690	5702	0	5702	5702	True	60	merged_e5b	0
19	cc8c1ca2-e88c-49ef-9a60-84a286579ab9	chr16	36311158	36333739	15731	0	15731	15731	True	21	merged_e5b	0
20	effda729-07f9-4377-beef-02b02a5b1809	chr16	36311160	36327410	20967	0	20967	20967	False	41	merged_e5b	0
21	0ed82bad-97f3-46a9-949e-ed91f6828025	chr16	36311160	36325410	24971	0	24971	24971	False	33	merged_e5b	0
22	bc491871-3e84-450f-abac-5247cc0ad276	chr16	36311160	36325069	29836	0	29836	29836	False	60	merged_e5b	0
23	ddfa20bd-fe85-4985-82d4-601d3aa90b5f	chr16	36311179	36319161	6462	0	6462	6462	True	52	merged_e5b	0
24	cfdd7884-b4d6-4fc7-b24c-c98fc82a7cc8	chr16	36311183	36330504	22036	0	22036	22036	False	39	merged_e5b	0
25	66c76ad9-b3a8-4cfb-96e2-f5039a581b1a	chr16	36311183	36329184	16913	0	16913	16913	False	24	merged_e5b	0
26	4f4ec0a2-246c-46ef-ab1f-c2e62b674a5c	chr16	36311183	36330354	17382	0	17382	17382	False	39	merged_e5b	0
27	0567adc6-1cf6-4387-880b-a89744856279	chr16	36311183	36331330	29371	0	29371	29371	False	60	merged_e5b	0
28	f161e2f1-3c9b-4262-af74-ccbdbdab1ab7	chr16	36311183	36321896	18789	0	18789	18789	False	46	merged_e5b	0
29	516f641f-34ec-403c-af62-24876baa098e	chr16	36311183	36322081	21774	0	21774	21774	False	60	merged_e5b	0
30	d373c3d9-09dd-4fe1-8078-dd3b20d828a9	chr16	36311183	36318218	14499	0	14499	14499	False	60	merged_e5b	0
31	db21a288-5145-46da-a0f5-388b329164fe	chr16	36311183	36332710	44997	0	32768	32768	False	24	merged_e5b	0
32	db21a288-5145-46da-a0f5-388b329164fe	chr16	36311183	36332710	44997	12229	44997	32768	False	24	merged_e5b	0
33	db21a288-5145-46da-a0f5-388b329164fe	chr16	36311183	36332710	44997	16384	44997	28613	False	24	merged_e5b	0
34	db21a288-5145-46da-a0f5-388b329164fe	chr16	36311183	36332710	44997	32768	44997	12229	False	24	merged_e5b	0
35	89d40b8c-0867-44d4-a213-6ffc2371e5cd	chr16	36311183	36334460	34587	0	32768	32768	False	46	merged_e5b	0
36	89d40b8c-0867-44d4-a213-6ffc2371e5cd	chr16	36311183	36334460	34587	1819	34587	32768	False	46	merged_e5b	0
37	89d40b8c-0867-44d4-a213-6ffc2371e5cd	chr16	36311183	36334460	34587	16384	34587	18203	False	46	merged_e5b	0
38	89d40b8c-0867-44d4-a213-6ffc2371e5cd	chr16	36311183	36334460	34587	32768	34587	1819	False	46	merged_e5b	0
39	5a2debaa-2f6f-48e1-b030-9ed98c9c7b8b	chr16	36311183	36330279	19224	0	19224	19224	False	42	merged_e5b	0
40	f2e23a77-4b4a-4533-b053-7f941c6465fa	chr16	36311183	36337382	52473	0	32768	32768	False	60	merged_e5b	0
41	f2e23a77-4b4a-4533-b053-7f941c6465fa	chr16	36311183	36337382	52473	16384	49152	32768	False	60	merged_e5b	0
42	f2e23a77-4b4a-4533-b053-7f941c6465fa	chr16	36311183	36337382	52473	19705	52473	32768	False	60	merged_e5b	0
43	f2e23a77-4b4a-4533-b053-7f941c6465fa	chr16	36311183	36337382	52473	32768	52473	19705	False	60	merged_e5b	0
