source	destination	phase	status	reason
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/4chrom_test_regions.tsv	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/metadata/regions/4chrom_test_regions.tsv	phase01_region_definition	active_metadata	held-out region definition promoted from OLD
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/4chrom_val_regions.tsv	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/metadata/regions/4chrom_val_regions.tsv	phase01_region_definition	active_metadata	held-out region definition promoted from OLD
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/scripts/run_alphagenome_smoke.py	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/archive/phase00_setup_smoke/scripts/run_alphagenome_smoke.py	phase00_setup_smoke	archive	setup smoke script
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/metadata	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/archive/phase00_setup_smoke/metadata_discovery	phase00_setup_smoke	archive	AlphaGenome track metadata discovery outputs
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/plots/alphagenome_smoke.png	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/archive/phase00_setup_smoke/plots/alphagenome_smoke.png	phase00_setup_smoke	archive	smoke test plot
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/benchmark.summary.tsv	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/archive/phase02_initial_128bp_reference_benchmark/summaries/benchmark.summary.tsv	phase02_initial_128bp_reference_benchmark	archive	initial 128 bp benchmark summary
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/benchmark.summary.json	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/archive/phase02_initial_128bp_reference_benchmark/summaries/benchmark.summary.json	phase02_initial_128bp_reference_benchmark	archive	initial 128 bp benchmark summary
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/benchmark.per_region.tsv	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/archive/phase02_initial_128bp_reference_benchmark/summaries/benchmark.per_region.tsv	phase02_initial_128bp_reference_benchmark	archive	initial 128 bp benchmark summary
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/alphagenome_test_128bp.tsv	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/server_artifacts/alphagenome_archive_large_tables/phase02_initial_128bp_reference_benchmark/alphagenome_test_128bp.tsv	phase02_initial_128bp_reference_benchmark	server_artifact	large 128 bp per-bin/generated track table
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/dimelo_test_128bp.chr11.tsv	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/server_artifacts/alphagenome_archive_large_tables/phase02_initial_128bp_reference_benchmark/dimelo_test_128bp.chr11.tsv	phase02_initial_128bp_reference_benchmark	server_artifact	large 128 bp per-bin/generated track table
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/dimelo_test_128bp.chr16.tsv	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/server_artifacts/alphagenome_archive_large_tables/phase02_initial_128bp_reference_benchmark/dimelo_test_128bp.chr16.tsv	phase02_initial_128bp_reference_benchmark	server_artifact	large 128 bp per-bin/generated track table
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/dimelo_test_128bp.chr17.tsv	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/server_artifacts/alphagenome_archive_large_tables/phase02_initial_128bp_reference_benchmark/dimelo_test_128bp.chr17.tsv	phase02_initial_128bp_reference_benchmark	server_artifact	large 128 bp per-bin/generated track table
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/dimelo_test_128bp.chr19.tsv	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/server_artifacts/alphagenome_archive_large_tables/phase02_initial_128bp_reference_benchmark/dimelo_test_128bp.chr19.tsv	phase02_initial_128bp_reference_benchmark	server_artifact	large 128 bp per-bin/generated track table
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/dimelo_test_128bp.tsv	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/server_artifacts/alphagenome_archive_large_tables/phase02_initial_128bp_reference_benchmark/dimelo_test_128bp.tsv	phase02_initial_128bp_reference_benchmark	server_artifact	large 128 bp per-bin/generated track table
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/dimelo_val_128bp.chr11.tsv	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/server_artifacts/alphagenome_archive_large_tables/phase02_initial_128bp_reference_benchmark/dimelo_val_128bp.chr11.tsv	phase02_initial_128bp_reference_benchmark	server_artifact	large 128 bp per-bin/generated track table
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/dimelo_val_128bp.chr16.tsv	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/server_artifacts/alphagenome_archive_large_tables/phase02_initial_128bp_reference_benchmark/dimelo_val_128bp.chr16.tsv	phase02_initial_128bp_reference_benchmark	server_artifact	large 128 bp per-bin/generated track table
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/dimelo_val_128bp.chr17.tsv	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/server_artifacts/alphagenome_archive_large_tables/phase02_initial_128bp_reference_benchmark/dimelo_val_128bp.chr17.tsv	phase02_initial_128bp_reference_benchmark	server_artifact	large 128 bp per-bin/generated track table
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/dimelo_val_128bp.chr19.tsv	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/server_artifacts/alphagenome_archive_large_tables/phase02_initial_128bp_reference_benchmark/dimelo_val_128bp.chr19.tsv	phase02_initial_128bp_reference_benchmark	server_artifact	large 128 bp per-bin/generated track table
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/dimelo_val_128bp.tsv	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/server_artifacts/alphagenome_archive_large_tables/phase02_initial_128bp_reference_benchmark/dimelo_val_128bp.tsv	phase02_initial_128bp_reference_benchmark	server_artifact	large 128 bp per-bin/generated track table
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/hyenadna_test_128bp.chr11.tsv	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/server_artifacts/alphagenome_archive_large_tables/phase02_initial_128bp_reference_benchmark/hyenadna_test_128bp.chr11.tsv	phase02_initial_128bp_reference_benchmark	server_artifact	large 128 bp per-bin/generated track table
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/hyenadna_test_128bp.chr16.tsv	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/server_artifacts/alphagenome_archive_large_tables/phase02_initial_128bp_reference_benchmark/hyenadna_test_128bp.chr16.tsv	phase02_initial_128bp_reference_benchmark	server_artifact	large 128 bp per-bin/generated track table
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/hyenadna_test_128bp.chr17.tsv	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/server_artifacts/alphagenome_archive_large_tables/phase02_initial_128bp_reference_benchmark/hyenadna_test_128bp.chr17.tsv	phase02_initial_128bp_reference_benchmark	server_artifact	large 128 bp per-bin/generated track table
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/hyenadna_test_128bp.chr19.tsv	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/server_artifacts/alphagenome_archive_large_tables/phase02_initial_128bp_reference_benchmark/hyenadna_test_128bp.chr19.tsv	phase02_initial_128bp_reference_benchmark	server_artifact	large 128 bp per-bin/generated track table
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/hyenadna_test_128bp.tsv	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/server_artifacts/alphagenome_archive_large_tables/phase02_initial_128bp_reference_benchmark/hyenadna_test_128bp.tsv	phase02_initial_128bp_reference_benchmark	server_artifact	large 128 bp per-bin/generated track table
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/dimelo_test_128bp.chr11.summary.json	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/archive/phase02_initial_128bp_reference_benchmark/track_summaries/dimelo_test_128bp.chr11.summary.json	phase02_initial_128bp_reference_benchmark	archive	small 128 bp track summary JSON
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/dimelo_test_128bp.chr16.summary.json	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/archive/phase02_initial_128bp_reference_benchmark/track_summaries/dimelo_test_128bp.chr16.summary.json	phase02_initial_128bp_reference_benchmark	archive	small 128 bp track summary JSON
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/dimelo_test_128bp.chr17.summary.json	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/archive/phase02_initial_128bp_reference_benchmark/track_summaries/dimelo_test_128bp.chr17.summary.json	phase02_initial_128bp_reference_benchmark	archive	small 128 bp track summary JSON
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/dimelo_test_128bp.chr19.summary.json	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/archive/phase02_initial_128bp_reference_benchmark/track_summaries/dimelo_test_128bp.chr19.summary.json	phase02_initial_128bp_reference_benchmark	archive	small 128 bp track summary JSON
/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/OLD/outputs/dimelo_val_128bp.chr11.summary.json	/data/leuven/383/vsc38330/thesis_project_clean/alphagenome/archive/phase02_initial_128bp_reference_benchmark/track_summaries/dimelo_val_128bp.chr11.summary.json	phase02_initial_128bp_reference_benchmark	archive	small 128 bp track summary JSON
