region_id	chrom	start	end	name	split
0	chr19	1200000	1300000	chr16_rank1_score4.618_reads285	train
1	chr19	42200000	42300000	chr16_rank2_score3.625_reads849	train
2	chr19	12700000	12800000	chr16_rank3_score3.120_reads258	train
3	chr19	1800000	1900000	chr16_rank4_score3.018_reads330	train
4	chr19	55300000	55400000	chr16_rank5_score2.788_reads624	test
5	chr19	500000	600000	chr16_rank6_score2.785_reads262	train
6	chr19	1400000	1500000	chr16_rank7_score2.754_reads254	test
7	chr19	1000000	1100000	chr16_rank8_score2.729_reads248	test
8	chr19	1100000	1200000	chr16_rank9_score2.713_reads244	val
9	chr19	55600000	55700000	chr16_rank10_score2.603_reads535	test
10	chr19	45400000	45500000	chr16_rank11_score2.512_reads564	train
11	chr19	2000000	2100000	chr16_rank12_score2.394_reads317	test
12	chr19	35700000	35800000	chr16_rank13_score2.361_reads892	test
13	chr19	39400000	39500000	chr16_rank14_score2.349_reads881	train
14	chr19	54100000	54200000	chr16_rank15_score2.263_reads505	train
15	chr19	49800000	49900000	chr16_rank16_score2.160_reads581	val
16	chr19	38300000	38400000	chr16_rank17_score2.150_reads902	train
17	chr19	900000	1000000	chr16_rank18_score2.126_reads310	train
18	chr19	600000	700000	chr16_rank19_score2.121_reads242	train
19	chr19	13800000	13900000	chr16_rank20_score2.104_reads238	test
20	chr19	13100000	13200000	chr16_rank21_score2.024_reads259	train
21	chr19	46700000	46800000	chr16_rank22_score1.966_reads583	train
22	chr19	49600000	49700000	chr16_rank23_score1.933_reads635	train
23	chr19	55400000	55500000	chr16_rank24_score1.917_reads510	train
24	chr19	3500000	3600000	chr16_rank25_score1.916_reads313	train
25	chr19	8300000	8400000	chr16_rank26_score1.906_reads310	train
26	chr19	45600000	45700000	chr16_rank27_score1.900_reads615	train
27	chr19	45700000	45800000	chr16_rank28_score1.867_reads595	test
28	chr19	700000	800000	chr16_rank29_score1.849_reads293	val
29	chr19	38600000	38700000	chr16_rank30_score1.845_reads798	train
30	chr19	2400000	2500000	chr16_rank31_score1.788_reads276	val
31	chr19	4000000	4100000	chr16_rank32_score1.785_reads275	train
