row_idx	read_id	chrom	alignment_start	alignment_end	read_length	window_start	window_end	window_length	is_reverse	mapq	region_id	region_name	split	sample	sample_id	source_dataset
0	932e659a-5536-4e7e-9fc9-347dac460184	chr16	666649	702804	35259	0	32768	32768	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
1	932e659a-5536-4e7e-9fc9-347dac460184	chr16	666649	702804	35259	2491	35259	32768	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
2	932e659a-5536-4e7e-9fc9-347dac460184	chr16	666649	702804	35259	16384	35259	18875	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
3	932e659a-5536-4e7e-9fc9-347dac460184	chr16	666649	702804	35259	32768	35259	2491	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
4	6860bc7f-c3c5-4c5f-8787-ecf9ad958b81	chr16	672867	712580	39765	0	32768	32768	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
5	6860bc7f-c3c5-4c5f-8787-ecf9ad958b81	chr16	672867	712580	39765	6997	39765	32768	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
6	6860bc7f-c3c5-4c5f-8787-ecf9ad958b81	chr16	672867	712580	39765	16384	39765	23381	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
7	6860bc7f-c3c5-4c5f-8787-ecf9ad958b81	chr16	672867	712580	39765	32768	39765	6997	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
8	6716f742-d9ed-4c16-a260-4f069a33b9eb	chr16	674356	701614	27315	0	27315	27315	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
9	e7a44f2d-9ad8-4eb8-b79c-ec8da25c3341	chr16	674741	701250	26300	0	26300	26300	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
10	2071d7fa-385a-4d8b-8c3b-2104c6c575ea	chr16	677004	719511	42561	0	32768	32768	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
11	2071d7fa-385a-4d8b-8c3b-2104c6c575ea	chr16	677004	719511	42561	9793	42561	32768	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
12	2071d7fa-385a-4d8b-8c3b-2104c6c575ea	chr16	677004	719511	42561	16384	42561	26177	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
13	2071d7fa-385a-4d8b-8c3b-2104c6c575ea	chr16	677004	719511	42561	32768	42561	9793	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
14	f6c83e53-c0cf-4180-ae10-26e836acb56f	chr16	679849	707023	27554	0	27554	27554	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
15	e22751ea-29f9-4297-a203-677e938735cd	chr16	682840	713944	31187	0	31187	31187	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
16	748c13c1-10a4-46ad-88b5-09473b191715	chr16	683703	701349	17721	0	17721	17721	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
17	9d5b0422-b49e-49ca-8edb-33b946eeb1e0	chr16	683737	706221	22438	0	22438	22438	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
18	fe0a1c50-1da7-45be-a830-87a6a528053f	chr16	685110	707223	22202	0	22202	22202	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
19	6026de23-63a5-47ac-b31e-cf8a7860645e	chr16	685492	700547	15129	0	15129	15129	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
20	2c622d70-878e-43be-a6c3-57c23fead732	chr16	685659	722568	36585	0	32768	32768	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16
21	2c622d70-878e-43be-a6c3-57c23fead732	chr16	685659	722568	36585	3817	36585	32768	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16
22	2c622d70-878e-43be-a6c3-57c23fead732	chr16	685659	722568	36585	16384	36585	20201	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16
23	2c622d70-878e-43be-a6c3-57c23fead732	chr16	685659	722568	36585	32768	36585	3817	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16
24	da69137b-2e33-4001-9440-e1065bb5940b	chr16	686497	706112	19669	0	19669	19669	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
25	43957502-0bfa-4f06-acde-3a04f2cef491	chr16	687237	701027	13861	0	13861	13861	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
26	9d974eb4-bddb-4871-ab5b-f3b860d8af70	chr16	689060	703972	14944	0	14944	14944	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
27	1e484b29-43c8-4903-88ff-e7e7c29ecb3b	chr16	689563	705798	16323	0	16323	16323	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
28	da01e003-cbff-4c5e-b269-badf7b15660c	chr16	691029	732855	83535	0	32768	32768	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16
29	da01e003-cbff-4c5e-b269-badf7b15660c	chr16	691029	732855	83535	16384	49152	32768	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16
30	da01e003-cbff-4c5e-b269-badf7b15660c	chr16	691029	732855	83535	32768	65536	32768	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16
31	da01e003-cbff-4c5e-b269-badf7b15660c	chr16	691029	732855	83535	49152	81920	32768	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16
32	da01e003-cbff-4c5e-b269-badf7b15660c	chr16	691029	732855	83535	50767	83535	32768	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16
33	da01e003-cbff-4c5e-b269-badf7b15660c	chr16	691029	732855	83535	65536	83535	17999	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16
34	da01e003-cbff-4c5e-b269-badf7b15660c	chr16	691029	732855	83535	81920	83535	1615	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16
35	207d270d-d37c-45f5-ae69-b604c7eea8a2	chr16	693054	702279	9278	0	9278	9278	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16
36	bbcf518a-fa7b-4660-a9ea-94a90264fdb6	chr16	693124	727970	67884	0	32768	32768	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16
37	bbcf518a-fa7b-4660-a9ea-94a90264fdb6	chr16	693124	727970	67884	16384	49152	32768	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16
38	bbcf518a-fa7b-4660-a9ea-94a90264fdb6	chr16	693124	727970	67884	32768	65536	32768	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16
39	bbcf518a-fa7b-4660-a9ea-94a90264fdb6	chr16	693124	727970	67884	35116	67884	32768	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16
40	bbcf518a-fa7b-4660-a9ea-94a90264fdb6	chr16	693124	727970	67884	49152	67884	18732	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16
41	bbcf518a-fa7b-4660-a9ea-94a90264fdb6	chr16	693124	727970	67884	65536	67884	2348	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16
