row_idx	read_id	chrom	alignment_start	alignment_end	read_length	window_start	window_end	window_length	is_reverse	mapq	region_id	region_name	split
0	b71e7f06-2017-4ce2-a05e-cbb387950ea2	chr11	770771	803661	32660	0	32660	32660	True	60	6	chr16_rank7_score5.133_reads389	test
1	c204a21b-d643-475d-82c2-1c2d2f3363ba	chr11	772660	825358	50435	0	32768	32768	False	60	6	chr16_rank7_score5.133_reads389	test
2	c204a21b-d643-475d-82c2-1c2d2f3363ba	chr11	772660	825358	50435	16384	49152	32768	False	60	6	chr16_rank7_score5.133_reads389	test
3	c204a21b-d643-475d-82c2-1c2d2f3363ba	chr11	772660	825358	50435	17667	50435	32768	False	60	6	chr16_rank7_score5.133_reads389	test
4	c204a21b-d643-475d-82c2-1c2d2f3363ba	chr11	772660	825358	50435	32768	50435	17667	False	60	6	chr16_rank7_score5.133_reads389	test
5	c204a21b-d643-475d-82c2-1c2d2f3363ba	chr11	772660	825358	50435	49152	50435	1283	False	60	6	chr16_rank7_score5.133_reads389	test
6	c8b51b53-5449-49e8-9e17-b31335f942f5	chr11	772662	825378	51321	0	32768	32768	True	60	6	chr16_rank7_score5.133_reads389	test
7	c8b51b53-5449-49e8-9e17-b31335f942f5	chr11	772662	825378	51321	16384	49152	32768	True	60	6	chr16_rank7_score5.133_reads389	test
8	c8b51b53-5449-49e8-9e17-b31335f942f5	chr11	772662	825378	51321	18553	51321	32768	True	60	6	chr16_rank7_score5.133_reads389	test
9	c8b51b53-5449-49e8-9e17-b31335f942f5	chr11	772662	825378	51321	32768	51321	18553	True	60	6	chr16_rank7_score5.133_reads389	test
10	c8b51b53-5449-49e8-9e17-b31335f942f5	chr11	772662	825378	51321	49152	51321	2169	True	60	6	chr16_rank7_score5.133_reads389	test
11	e6aa0630-abf0-48ee-90f1-1c6a7abc221d	chr11	774350	801676	27203	0	27203	27203	True	60	6	chr16_rank7_score5.133_reads389	test
12	21cfc9b8-6f1b-4f9b-a82d-7507f534c668	chr11	780906	800077	19121	0	19121	19121	False	60	6	chr16_rank7_score5.133_reads389	test
13	5425a93e-ba5c-4b73-ac85-54b74b22cba2	chr11	782633	801554	18960	0	18960	18960	True	60	6	chr16_rank7_score5.133_reads389	test
14	1b66191a-c6d8-403c-896a-1617a5d686a1	chr11	784583	800584	15717	0	15717	15717	True	60	6	chr16_rank7_score5.133_reads389	test
15	4238c0a5-11a3-412a-ac51-14c30ddd126a	chr11	785388	823284	37861	0	32768	32768	False	60	0	chr16_rank1_score6.530_reads411	train
16	4238c0a5-11a3-412a-ac51-14c30ddd126a	chr11	785388	823284	37861	5093	37861	32768	False	60	0	chr16_rank1_score6.530_reads411	train
17	4238c0a5-11a3-412a-ac51-14c30ddd126a	chr11	785388	823284	37861	16384	37861	21477	False	60	0	chr16_rank1_score6.530_reads411	train
18	4238c0a5-11a3-412a-ac51-14c30ddd126a	chr11	785388	823284	37861	32768	37861	5093	False	60	0	chr16_rank1_score6.530_reads411	train
19	4e239369-6cc6-4839-8094-69e0a338a9d0	chr11	785425	828740	43253	0	32768	32768	False	60	0	chr16_rank1_score6.530_reads411	train
20	4e239369-6cc6-4839-8094-69e0a338a9d0	chr11	785425	828740	43253	10485	43253	32768	False	60	0	chr16_rank1_score6.530_reads411	train
21	4e239369-6cc6-4839-8094-69e0a338a9d0	chr11	785425	828740	43253	16384	43253	26869	False	60	0	chr16_rank1_score6.530_reads411	train
22	4e239369-6cc6-4839-8094-69e0a338a9d0	chr11	785425	828740	43253	32768	43253	10485	False	60	0	chr16_rank1_score6.530_reads411	train
23	d8d43c25-c84b-49bb-b02a-bf68b64a9214	chr11	785684	817920	32162	0	32162	32162	True	60	0	chr16_rank1_score6.530_reads411	train
24	c9f7e2a6-776d-43b7-a799-39892a9e2ad3	chr11	786177	800639	13883	0	13883	13883	True	60	6	chr16_rank7_score5.133_reads389	test
25	22923605-f8fc-46a3-ae7d-56884f92604b	chr11	787004	801273	13902	0	13902	13902	False	60	6	chr16_rank7_score5.133_reads389	test
26	21d2ed3b-dd0d-49ce-8d9d-be9fed3dc97f	chr11	789217	833261	43980	0	32768	32768	False	60	0	chr16_rank1_score6.530_reads411	train
27	21d2ed3b-dd0d-49ce-8d9d-be9fed3dc97f	chr11	789217	833261	43980	11212	43980	32768	False	60	0	chr16_rank1_score6.530_reads411	train
28	21d2ed3b-dd0d-49ce-8d9d-be9fed3dc97f	chr11	789217	833261	43980	16384	43980	27596	False	60	0	chr16_rank1_score6.530_reads411	train
29	21d2ed3b-dd0d-49ce-8d9d-be9fed3dc97f	chr11	789217	833261	43980	32768	43980	11212	False	60	0	chr16_rank1_score6.530_reads411	train
30	5e976fea-4d05-4798-a5db-e953d8dd44f5	chr11	790476	821897	31153	0	31153	31153	False	60	0	chr16_rank1_score6.530_reads411	train
31	5ad1e820-7638-41b0-ab04-42a5acb63d2c	chr11	790566	805521	14948	0	14948	14948	True	60	6	chr16_rank7_score5.133_reads389	test
32	86f56f0e-e4f6-4828-8df1-512ddf230a96	chr11	792136	800014	7864	0	7864	7864	False	60	6	chr16_rank7_score5.133_reads389	test
33	19637800-7ade-4b0f-8f79-1bd683fdf75e	chr11	792177	820232	28046	0	28046	28046	False	60	0	chr16_rank1_score6.530_reads411	train
34	fe27e609-0704-4503-8ba5-3ef217a68d96	chr11	793988	806364	17780	0	17780	17780	True	60	0	chr16_rank1_score6.530_reads411	train
35	bc6f649e-eb25-41dc-b5aa-e820b40ac445	chr11	796644	800372	3679	0	3679	3679	False	60	6	chr16_rank7_score5.133_reads389	test
36	f8879dee-b947-40f0-8819-8e9c3afa1204	chr11	796651	800457	3736	0	3736	3736	True	60	6	chr16_rank7_score5.133_reads389	test
37	51502f73-566e-4727-a417-04f98d4b4768	chr11	796738	804484	7747	0	7747	7747	False	60	0	chr16_rank1_score6.530_reads411	train
38	7c85d086-642d-4df2-b0ac-dfec746aca96	chr11	796738	804483	7728	0	7728	7728	True	60	0	chr16_rank1_score6.530_reads411	train
39	c698cbc3-3f4e-45ed-8247-758f286e8c49	chr11	796943	801546	4617	0	4617	4617	True	60	6	chr16_rank7_score5.133_reads389	test
40	a4143180-3ca7-40e5-a008-578d75740413	chr11	797023	800447	3412	0	3412	3412	False	60	6	chr16_rank7_score5.133_reads389	test
41	705929d7-05e0-4874-8c17-139b5364b1c9	chr11	797722	812326	14597	0	14597	14597	True	60	0	chr16_rank1_score6.530_reads411	train
42	49092a64-b858-43e8-b95e-608147030952	chr11	798122	808124	10011	0	10011	10011	False	60	0	chr16_rank1_score6.530_reads411	train
43	a54239cf-6196-4e2b-9a64-10626089ff4e	chr11	798125	805800	7618	0	7618	7618	True	60	0	chr16_rank1_score6.530_reads411	train
44	a5546185-6b31-4b3b-bdad-42e92f1567e4	chr11	798871	806762	7616	0	7616	7616	False	60	0	chr16_rank1_score6.530_reads411	train
45	c2d7e336-f6e3-4a10-9d6d-47bc534758a1	chr11	798973	806082	7125	0	7125	7125	False	60	0	chr16_rank1_score6.530_reads411	train
46	22adfcd7-ca1e-4737-a8cc-196ed63f8a7a	chr11	799133	809703	10575	0	10575	10575	True	60	0	chr16_rank1_score6.530_reads411	train
47	036b7299-2770-4c84-a854-199a6097a7dd	chr11	800318	804182	3982	0	3982	3982	False	60	0	chr16_rank1_score6.530_reads411	train
48	9d2d3de0-d2f2-4332-a515-89dae729c644	chr11	800486	806729	6196	0	6196	6196	True	60	0	chr16_rank1_score6.530_reads411	train
49	f42a0ba3-aae4-449d-a933-61f22bdd1aa1	chr11	800889	807305	6108	0	6108	6108	True	60	0	chr16_rank1_score6.530_reads411	train
50	971c7d66-2306-46bf-a4cf-8ae18c803087	chr11	64156810	64204204	47366	0	32768	32768	False	60	95	chr16_rank96_score2.067_reads390	val
51	971c7d66-2306-46bf-a4cf-8ae18c803087	chr11	64156810	64204204	47366	14598	47366	32768	False	60	95	chr16_rank96_score2.067_reads390	val
52	971c7d66-2306-46bf-a4cf-8ae18c803087	chr11	64156810	64204204	47366	16384	47366	30982	False	60	95	chr16_rank96_score2.067_reads390	val
53	971c7d66-2306-46bf-a4cf-8ae18c803087	chr11	64156810	64204204	47366	32768	47366	14598	False	60	95	chr16_rank96_score2.067_reads390	val
54	fe22354c-cb68-4db4-9c23-278d1bb5c191	chr11	64158708	64202811	42890	0	32768	32768	False	60	95	chr16_rank96_score2.067_reads390	val
55	fe22354c-cb68-4db4-9c23-278d1bb5c191	chr11	64158708	64202811	42890	10122	42890	32768	False	60	95	chr16_rank96_score2.067_reads390	val
56	fe22354c-cb68-4db4-9c23-278d1bb5c191	chr11	64158708	64202811	42890	16384	42890	26506	False	60	95	chr16_rank96_score2.067_reads390	val
57	fe22354c-cb68-4db4-9c23-278d1bb5c191	chr11	64158708	64202811	42890	32768	42890	10122	False	60	95	chr16_rank96_score2.067_reads390	val
58	d1dc6988-5779-47a8-b8a9-08b8d8c84fbc	chr11	64173054	64204672	31371	0	31371	31371	True	60	95	chr16_rank96_score2.067_reads390	val
59	78b7f3b4-255e-412a-81af-0e3b6c1dc2df	chr11	64174023	64204048	30010	0	30010	30010	True	60	95	chr16_rank96_score2.067_reads390	val
60	61013600-3182-48a1-955f-6a39203f4111	chr11	64174729	64201101	26304	0	26304	26304	False	60	95	chr16_rank96_score2.067_reads390	val
61	daa94983-3659-49c9-b7d0-b1b497cc38b1	chr11	64176812	64207285	30402	0	30402	30402	False	60	95	chr16_rank96_score2.067_reads390	val
62	f6d78dc0-2b18-4ace-8263-d57e695f18b7	chr11	64180811	64204148	23272	0	23272	23272	True	60	95	chr16_rank96_score2.067_reads390	val
63	7069b975-7a40-4fdf-bbbc-79acbcf793e4	chr11	64180911	64200753	19438	0	19438	19438	True	60	95	chr16_rank96_score2.067_reads390	val
64	a31ae2f6-8e32-40ff-b5c9-5fea1ca25d6b	chr11	64181537	64206086	24447	0	24447	24447	True	60	95	chr16_rank96_score2.067_reads390	val
65	eeddfb80-e032-4df6-8afe-1ad157765598	chr11	64184384	64231015	46546	0	32768	32768	True	60	1	chr16_rank2_score6.477_reads404	train
66	eeddfb80-e032-4df6-8afe-1ad157765598	chr11	64184384	64231015	46546	13778	46546	32768	True	60	1	chr16_rank2_score6.477_reads404	train
