row_idx	read_id	chrom	alignment_start	alignment_end	read_length	is_reverse	mapq
0	ba0a0911-28bc-4b8f-8a05-dde394ab75d4	chr16	10000	11804	4676	False	60
1	62b91348-c2dd-482d-b857-bf49a3da706a	chr16	10000	17254	7844	False	60
2	dc81899a-bc60-4758-b8a5-c2bd0ecdc9df	chr16	10000	20171	13188	False	60
3	bd0e7ede-a1b9-4010-b455-ff4d813e6ac3	chr16	10000	22928	15742	False	60
4	5cf8c249-1de0-4109-9847-b07a042badee	chr16	10000	16550	9056	False	60
5	a9cad9d1-0ffd-4e80-b7d3-8c32f3e0fb28	chr16	10000	16340	7317	False	60
6	6c655a89-1970-498c-8026-a8a13896bc95	chr16	10000	13136	5483	False	60
7	93c335cf-fd03-46a4-a5ec-7ba3bbc77420	chr16	10000	16212	9166	False	60
8	df13ea3e-5c20-4c50-b6d3-8fbf241ff16a	chr16	10000	12686	5731	False	60
9	edb66fc2-795d-4e71-b3dd-e3bf4f0b02cc	chr16	10000	19318	9677	False	54
10	d8d5abca-e5d9-48de-aa1e-fbd20442d6b4	chr16	10000	13000	5655	False	60
11	6ac60fd0-1086-40d3-91e0-5058bcacba4d	chr16	10000	14230	6160	False	60
12	f7f5fb9e-ff94-44e1-ae35-969c5ef64e20	chr16	10000	29709	22880	False	60
13	389621b6-45e0-4228-8be3-c6e7f8d22eb8	chr16	10000	20503	12233	False	60
14	11743570-ef2c-42e5-bacb-1c4161fd9834	chr16	10000	13024	5224	False	60
15	4b7b30f8-f1cf-4b29-8522-d18fafc7b5bf	chr16	10000	28529	20908	False	60
16	c7aacbd3-ed19-4d78-8b39-4efc58dbd798	chr16	10000	16295	9532	False	60
17	584ed02e-eff8-4596-8616-d8035da9c150	chr16	10000	20142	12213	False	60
18	caaf45fa-0bec-47a7-a173-d04e1bce476e	chr16	10000	33451	26165	True	60
19	5dac57cf-8774-461c-956c-bdb95c085fc1	chr16	10000	25042	16626	True	60
20	7f71d4d1-2a3d-4981-83ae-89641ce77e3e	chr16	10000	29264	21871	True	60
21	ceac6813-4acf-43ba-bb7d-1389e18e8c2c	chr16	10000	16140	8977	True	60
22	e8a1630d-1629-4c2b-861a-6c310a8476a8	chr16	10000	22075	14405	True	60
23	913f52f0-4ee4-4c4a-b425-89d942b00071	chr16	10000	20795	12588	True	60
24	c64d50a3-5ff3-49d0-a09d-9fad27222907	chr16	10000	21720	13817	True	60
25	86ce989d-d802-4c5c-a561-401bbcf601ff	chr16	10000	16299	6701	True	38
26	67c5ccb1-bfdd-4037-b64c-25cf915106db	chr16	10000	19008	11456	True	60
27	8e8b526c-3f21-4241-ad4f-63c289a03504	chr16	10000	33354	27238	True	60
28	1a5a637e-7b03-4db2-90e7-0a14cb6450d6	chr16	10002	30092	23700	False	45
29	3b5d60de-8683-4152-aae4-1458b1136136	chr16	10081	24602	16633	False	28
30	28d93b74-ca5a-4abb-a70e-90b456634412	chr16	10953	40829	30452	True	60
31	d96bb190-ad09-4f4d-b749-866c65d1b275	chr16	12210	12636	420	True	54
32	2f4c9d1c-7179-4d55-9fd3-2d2fb77618ae	chr16	13994	14785	787	True	60
33	79cd0362-b059-4a12-b9b6-98592402d53e	chr16	15975	16805	834	True	52
34	af2d201a-83bd-47a1-87f6-11aabe043be9	chr16	16570	20888	4322	False	60
35	8aca6f6d-ed0a-4b12-beed-a3a494162eb3	chr16	16767	22691	15239	False	28
36	46347a3c-24e0-4666-a7fa-83e46469345e	chr16	16889	17251	358	True	48
37	c8544d92-3893-44d8-80c4-93f1408fd799	chr16	17498	17914	427	True	57
38	3ba45c79-bb2d-4f24-bb29-da0a55666175	chr16	18119	18401	279	True	20
39	b0db1b12-365f-47d6-9ed4-a211f04f8328	chr16	18277	26205	7982	True	27
40	c4515b7a-52b3-462e-b804-466e35fef149	chr16	19311	22244	2940	False	46
41	060d741c-3a19-4fd1-bc9b-44542f2d18d5	chr16	19534	19901	3009	False	37
42	b97ed1eb-af35-45e4-8d36-538fe43f5705	chr16	19535	29978	10413	True	60
43	82fada87-81d2-4349-8dab-a5724c1e4d9d	chr16	19759	30188	10359	False	59
44	d1cdb7a4-efa5-47e8-9aa3-806c248abe36	chr16	20009	21511	1495	True	60
45	98c6eae0-1bd2-4bc9-8f15-82ad8b0fd428	chr16	20580	32216	11844	False	23
