row_idx	read_id	chrom	alignment_start	alignment_end	read_length	window_start	window_end	window_length	is_reverse	mapq	region_id	region_name	split
0	3c81c749-39f3-4b81-9913-7762963803db	chr16	664555	703517	44620	0	32768	32768	True	60	2	chr16_rank3_score4.722_reads400	train
1	3c81c749-39f3-4b81-9913-7762963803db	chr16	664555	703517	44620	11852	44620	32768	True	60	2	chr16_rank3_score4.722_reads400	train
2	3c81c749-39f3-4b81-9913-7762963803db	chr16	664555	703517	44620	16384	44620	28236	True	60	2	chr16_rank3_score4.722_reads400	train
3	3c81c749-39f3-4b81-9913-7762963803db	chr16	664555	703517	44620	32768	44620	11852	True	60	2	chr16_rank3_score4.722_reads400	train
4	4080ce08-891e-472b-8ca1-e06495f354bc	chr16	666304	703941	37696	0	32768	32768	True	60	2	chr16_rank3_score4.722_reads400	train
5	4080ce08-891e-472b-8ca1-e06495f354bc	chr16	666304	703941	37696	4928	37696	32768	True	60	2	chr16_rank3_score4.722_reads400	train
6	4080ce08-891e-472b-8ca1-e06495f354bc	chr16	666304	703941	37696	16384	37696	21312	True	60	2	chr16_rank3_score4.722_reads400	train
7	4080ce08-891e-472b-8ca1-e06495f354bc	chr16	666304	703941	37696	32768	37696	4928	True	60	2	chr16_rank3_score4.722_reads400	train
8	b67ed39f-2fce-4d91-9fd9-5180fe259439	chr16	668099	703751	35583	0	32768	32768	True	60	2	chr16_rank3_score4.722_reads400	train
9	b67ed39f-2fce-4d91-9fd9-5180fe259439	chr16	668099	703751	35583	2815	35583	32768	True	60	2	chr16_rank3_score4.722_reads400	train
10	b67ed39f-2fce-4d91-9fd9-5180fe259439	chr16	668099	703751	35583	16384	35583	19199	True	60	2	chr16_rank3_score4.722_reads400	train
11	b67ed39f-2fce-4d91-9fd9-5180fe259439	chr16	668099	703751	35583	32768	35583	2815	True	60	2	chr16_rank3_score4.722_reads400	train
12	e37c12da-487d-4c7f-8fae-ca937865dfa8	chr16	671764	711712	40013	0	32768	32768	True	60	2	chr16_rank3_score4.722_reads400	train
13	e37c12da-487d-4c7f-8fae-ca937865dfa8	chr16	671764	711712	40013	7245	40013	32768	True	60	2	chr16_rank3_score4.722_reads400	train
