row_idx	read_id	chrom	alignment_start	alignment_end	read_length	window_start	window_end	window_length	is_reverse	mapq
0	3cb44231-fc60-499f-b41a-2f801b212a51	chr19	1165573	1203604	36381	0	32768	32768	False	60
1	3cb44231-fc60-499f-b41a-2f801b212a51	chr19	1165573	1203604	36381	3613	36381	32768	False	60
2	3cb44231-fc60-499f-b41a-2f801b212a51	chr19	1165573	1203604	36381	16384	36381	19997	False	60
3	3cb44231-fc60-499f-b41a-2f801b212a51	chr19	1165573	1203604	36381	32768	36381	3613	False	60
4	0c084b3e-b50e-476c-b36e-eca441f681c9	chr19	1165657	1204760	69025	0	32768	32768	True	60
5	0c084b3e-b50e-476c-b36e-eca441f681c9	chr19	1165657	1204760	69025	16384	49152	32768	True	60
6	0c084b3e-b50e-476c-b36e-eca441f681c9	chr19	1165657	1204760	69025	32768	65536	32768	True	60
7	0c084b3e-b50e-476c-b36e-eca441f681c9	chr19	1165657	1204760	69025	36257	69025	32768	True	60
8	0c084b3e-b50e-476c-b36e-eca441f681c9	chr19	1165657	1204760	69025	49152	69025	19873	True	60
9	0c084b3e-b50e-476c-b36e-eca441f681c9	chr19	1165657	1204760	69025	65536	69025	3489	True	60
10	95d4f40a-d872-4978-8d31-9a02f330b8a0	chr19	1171548	1206583	33198	0	32768	32768	False	60
11	95d4f40a-d872-4978-8d31-9a02f330b8a0	chr19	1171548	1206583	33198	430	33198	32768	False	60
12	95d4f40a-d872-4978-8d31-9a02f330b8a0	chr19	1171548	1206583	33198	16384	33198	16814	False	60
13	95d4f40a-d872-4978-8d31-9a02f330b8a0	chr19	1171548	1206583	33198	32768	33198	430	False	60
14	1fe78169-2c21-495e-970b-e35bf55d3844	chr19	1171890	1216893	41908	0	32768	32768	False	32
15	1fe78169-2c21-495e-970b-e35bf55d3844	chr19	1171890	1216893	41908	9140	41908	32768	False	32
16	1fe78169-2c21-495e-970b-e35bf55d3844	chr19	1171890	1216893	41908	16384	41908	25524	False	32
17	1fe78169-2c21-495e-970b-e35bf55d3844	chr19	1171890	1216893	41908	32768	41908	9140	False	32
18	c119e7b7-4825-4656-9aa4-dad09c168cf8	chr19	1177068	1205418	26589	0	26589	26589	True	60
19	8f6a6899-e4fd-4927-9d9e-6bba887bd7d5	chr19	1177079	1209186	30212	0	30212	30212	True	60
20	5c39ad96-2734-499f-a2a1-ac286d2d3699	chr19	1177566	1205541	26140	0	26140	26140	False	60
21	32650bbb-bb07-40f5-8501-4130446ad970	chr19	1180586	1211661	29092	0	29092	29092	False	60
22	691b518c-1734-4b50-a194-a3d3c1c0a233	chr19	1183071	1200577	15629	0	15629	15629	False	60
23	a72395db-bdd1-4aac-a38f-fba965f2e4f8	chr19	1184647	1223337	36726	0	32768	32768	False	60
24	a72395db-bdd1-4aac-a38f-fba965f2e4f8	chr19	1184647	1223337	36726	3958	36726	32768	False	60
25	a72395db-bdd1-4aac-a38f-fba965f2e4f8	chr19	1184647	1223337	36726	16384	36726	20342	False	60
26	a72395db-bdd1-4aac-a38f-fba965f2e4f8	chr19	1184647	1223337	36726	32768	36726	3958	False	60
27	c1fa9a03-d8c5-4f4b-8f37-2d6954591fdd	chr19	1185090	1208480	20945	0	20945	20945	False	58
28	9bb54ee8-7fe8-4a61-b0dc-e37842f4a318	chr19	1186295	1207276	18596	0	18596	18596	False	60
29	5a978124-b673-45fc-916d-8a95e9729238	chr19	1187347	1207719	18539	0	18539	18539	True	60
30	ee0533bc-2ef4-42ab-92c1-1f64314928d9	chr19	1191596	1205200	11775	0	11775	11775	True	60
31	f1f10f93-d696-4d8b-b30f-46051bdf683f	chr19	1192733	1200642	6106	0	6106	6106	False	60
32	77091b91-81e7-44c6-90ab-c1e9bb9b6967	chr19	1196701	1204660	9365	0	9365	9365	False	44
33	5b91ffdc-7aca-4a9b-9147-f7faa5047c9d	chr19	1196808	1203083	6306	0	6306	6306	False	60
34	d70953bc-fe49-48f4-84ee-8e276ff16ebd	chr19	1196808	1203092	6298	0	6298	6298	True	60
35	def55f36-c73d-473b-9d81-95570a07ba5b	chr19	1197720	1224488	26689	0	26689	26689	False	60
36	cd3d4c49-d01e-4867-ab31-ff43b09baaff	chr19	1197720	1224488	26619	0	26619	26619	True	60
37	72215738-fbe3-493e-a9b7-2aa0375eb40e	chr19	1197986	1204053	6101	0	6101	6101	True	60
38	b46a8a13-2af5-402d-a6a0-5fd1355eaa08	chr19	1198225	1223653	25413	0	25413	25413	True	60
39	f1cc62bf-34ec-4848-9060-32101736bef6	chr19	1198343	1203220	4885	0	4885	4885	False	60
40	a8ffd02d-3bbe-4079-b38d-fc381777aa47	chr19	1198540	1211936	13089	0	13089	13089	False	60
41	c42d9c74-4527-4fc9-aad0-27659dd3948f	chr19	1198604	1211036	12218	0	12218	12218	False	60
42	3af848bd-8c59-4f6d-8316-9dfb7e52547f	chr19	1199264	1206930	7667	0	7667	7667	True	60
43	4eb6df20-eadc-443e-9b18-eee212c43c57	chr19	1199266	1201474	2214	0	2214	2214	False	60
44	9344d66d-8977-4e1a-9526-ccee350cf96d	chr19	1199297	1206072	6797	0	6797	6797	False	60
45	50ff7c99-bd93-48ae-95c1-85476506ea86	chr19	1199892	1211981	12058	0	12058	12058	False	60
46	74bc803c-e754-4d6a-8f2f-228f65b1ea84	chr19	1200010	1217713	17717	0	17717	17717	True	60
47	e259be11-14a1-4d7c-91bc-7f5c07642e55	chr19	1200118	1230087	29885	0	29885	29885	False	60
48	6b50b07d-b9b7-47d1-904d-3c8d5c947f5c	chr19	1200131	1205276	5155	0	5155	5155	True	60
49	cd220208-7a5c-4259-91a0-ef4cd891689d	chr19	1200245	1204838	4624	0	4624	4624	True	60
