region_id	chrom	start	end	name	split
0	chr16	700000	800000	chr16_rank1_score5.069_reads370	train
1	chr16	3100000	3200000	chr16_rank2_score4.990_reads483	train
2	chr16	600000	700000	chr16_rank3_score4.722_reads400	train
3	chr16	2100000	2200000	chr16_rank4_score4.433_reads447	train
4	chr16	4300000	4400000	chr16_rank5_score4.345_reads484	test
5	chr16	2900000	3000000	chr16_rank6_score3.927_reads416	train
6	chr16	30900000	31000000	chr16_rank7_score3.907_reads501	test
7	chr16	1900000	2000000	chr16_rank8_score3.838_reads346	test
8	chr16	2000000	2100000	chr16_rank9_score3.828_reads359	val
9	chr16	500000	600000	chr16_rank10_score3.770_reads393	test
10	chr16	29800000	29900000	chr16_rank11_score3.589_reads368	train
11	chr16	67100000	67200000	chr16_rank12_score3.555_reads441	test
12	chr16	1300000	1400000	chr16_rank13_score3.528_reads360	test
13	chr16	2200000	2300000	chr16_rank14_score3.480_reads404	train
14	chr16	30000000	30100000	chr16_rank15_score3.433_reads422	train
15	chr16	88800000	88900000	chr16_rank16_score3.425_reads494	val
16	chr16	31400000	31500000	chr16_rank17_score3.246_reads463	train
17	chr16	67200000	67300000	chr16_rank18_score3.143_reads446	train
18	chr16	30600000	30700000	chr16_rank19_score3.124_reads443	train
19	chr16	3000000	3100000	chr16_rank20_score3.106_reads440	test
20	chr16	67800000	67900000	chr16_rank21_score3.081_reads393	train
21	chr16	1100000	1200000	chr16_rank22_score3.078_reads371	train
22	chr16	88700000	88800000	chr16_rank23_score3.064_reads497	train
23	chr16	1700000	1800000	chr16_rank24_score3.055_reads368	train
24	chr16	30300000	30400000	chr16_rank25_score2.958_reads417	train
25	chr16	88600000	88700000	chr16_rank26_score2.910_reads470	train
26	chr16	300000	400000	chr16_rank27_score2.856_reads402	train
27	chr16	31000000	31100000	chr16_rank28_score2.759_reads388	test
28	chr16	89900000	90000000	chr16_rank29_score2.757_reads463	val
29	chr16	75200000	75300000	chr16_rank30_score2.752_reads387	train
30	chr16	28800000	28900000	chr16_rank31_score2.716_reads492	val
31	chr16	1000000	1100000	chr16_rank32_score2.716_reads382	train
32	chr16	14900000	15000000	chr16_rank33_score2.702_reads812	train
33	chr16	2700000	2800000	chr16_rank34_score2.699_reads489	train
34	chr16	4200000	4300000	chr16_rank35_score2.576_reads501	train
35	chr16	89500000	89600000	chr16_rank36_score2.544_reads359	train
36	chr16	87800000	87900000	chr16_rank37_score2.543_reads394	train
37	chr16	30700000	30800000	chr16_rank38_score2.475_reads418	train
38	chr16	57700000	57800000	chr16_rank39_score2.451_reads398	train
39	chr16	69300000	69400000	chr16_rank40_score2.441_reads493	train
40	chr16	2800000	2900000	chr16_rank41_score2.438_reads508	train
41	chr16	85500000	85600000	chr16_rank42_score2.388_reads405	test
42	chr16	4600000	4700000	chr16_rank43_score2.346_reads399	train
43	chr16	31100000	31200000	chr16_rank44_score2.346_reads399	train
44	chr16	30500000	30600000	chr16_rank45_score2.332_reads428	train
45	chr16	57600000	57700000	chr16_rank46_score2.325_reads427	train
46	chr16	2400000	2500000	chr16_rank47_score2.283_reads390	test
47	chr16	0	100000	chr16_rank48_score2.279_reads326	train
48	chr16	88400000	88500000	chr16_rank49_score2.264_reads372	train
49	chr16	85600000	85700000	chr16_rank50_score2.255_reads446	train
50	chr16	29900000	30000000	chr16_rank51_score2.207_reads409	test
51	chr16	88500000	88600000	chr16_rank52_score2.148_reads429	train
52	chr16	67900000	68000000	chr16_rank53_score2.145_reads400	train
53	chr16	85700000	85800000	chr16_rank54_score2.124_reads480	val
54	chr16	70400000	70500000	chr16_rank55_score2.110_reads451	val
55	chr16	5000000	5100000	chr16_rank56_score2.098_reads449	val
56	chr16	56600000	56700000	chr16_rank57_score2.076_reads432	train
57	chr16	89600000	89700000	chr16_rank58_score2.068_reads389	train
58	chr16	89700000	89800000	chr16_rank59_score2.043_reads413	train
59	chr16	28900000	29000000	chr16_rank60_score2.042_reads440	train
60	chr16	1400000	1500000	chr16_rank61_score2.018_reads382	train
