row_idx	read_id	chrom	alignment_start	alignment_end	read_length	is_reverse	mapq	region_id	region_name	split	sample	sample_id	source_dataset
0	6716f742-d9ed-4c16-a260-4f069a33b9eb	chr16	674356	701614	27315	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16_chr19
1	e7a44f2d-9ad8-4eb8-b79c-ec8da25c3341	chr16	674741	701250	26300	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16_chr19
2	f6c83e53-c0cf-4180-ae10-26e836acb56f	chr16	679849	707023	27554	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16_chr19
3	e22751ea-29f9-4297-a203-677e938735cd	chr16	682840	713944	31187	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16_chr19
4	748c13c1-10a4-46ad-88b5-09473b191715	chr16	683703	701349	17721	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16_chr19
5	9d5b0422-b49e-49ca-8edb-33b946eeb1e0	chr16	683737	706221	22438	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16_chr19
6	fe0a1c50-1da7-45be-a830-87a6a528053f	chr16	685110	707223	22202	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16_chr19
7	6026de23-63a5-47ac-b31e-cf8a7860645e	chr16	685492	700547	15129	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16_chr19
8	da69137b-2e33-4001-9440-e1065bb5940b	chr16	686497	706112	19669	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16_chr19
9	43957502-0bfa-4f06-acde-3a04f2cef491	chr16	687237	701027	13861	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16_chr19
10	9d974eb4-bddb-4871-ab5b-f3b860d8af70	chr16	689060	703972	14944	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16_chr19
11	1e484b29-43c8-4903-88ff-e7e7c29ecb3b	chr16	689563	705798	16323	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16_chr19
12	207d270d-d37c-45f5-ae69-b604c7eea8a2	chr16	693054	702279	9278	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16_chr19
13	e911b50e-36cf-4017-a9b5-2cd5437cb1f8	chr16	693432	702513	9249	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16_chr19
14	2f551cbc-9a1b-486e-9b91-7c15ebda2fcd	chr16	694211	714181	20019	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
15	3167b5e4-a560-415a-8b64-ec3d1ca77ebe	chr16	694286	705781	11715	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
16	fb4485e1-4b2b-496a-95fd-b52df7accd1e	chr16	696044	704844	8431	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
17	737243f9-6d51-482f-91ab-c924a7acb00a	chr16	696240	714133	17995	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
18	bb1c312d-a733-43b3-a6ca-d4e6ccc6c42f	chr16	696240	714133	18030	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
19	81e94299-37d4-4f50-9c61-ff68b4e05452	chr16	696463	709755	13398	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
20	eab68072-b471-434f-b891-0e64448699c4	chr16	697103	706518	9271	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
21	77da53b3-a0ea-4461-b16f-68ec57c7c7f0	chr16	697578	708819	10962	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
22	eabb340d-f3e2-48b7-9d5c-8bfba0d7e935	chr16	697965	702157	4154	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
23	d326181e-f94d-43eb-93f8-c56bb8971d58	chr16	698121	717767	19464	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
24	1c3be7f4-170a-4d1d-ac60-fbe3fa963dca	chr16	698241	703493	5254	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
25	d9315dca-e978-4ca3-be6f-33407cb8284c	chr16	698332	711316	13012	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
26	1ed2d7f1-6294-459c-be4c-9a2af2b848c9	chr16	698590	720077	21439	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
27	ca832d2c-fbc5-4845-b1d1-fc269e07fedf	chr16	698672	714226	15524	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
28	72a40e2c-e891-431e-9f0f-51b305b57711	chr16	698694	701818	3142	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
29	90a58346-e240-4e79-855c-e274d5e9d204	chr16	698800	701487	2670	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
30	1d44b08b-2113-4e1a-91a9-08cbd0d4d8eb	chr16	699098	707352	7907	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
31	9cab85bc-e9d9-4440-93ce-511394a2565f	chr16	699118	705164	6050	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
32	ca0c0733-4b46-4a3e-8bf1-6872721d589b	chr16	699301	704355	5329	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
33	cce0d845-0282-42ab-8582-71dcc9952f8e	chr16	700027	710487	9659	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
34	38160299-e6d1-4b55-a76b-3ed890d003ec	chr16	700031	709922	9844	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
35	b467a1e2-6927-4c44-8586-de37fc3258d1	chr16	700371	714771	14382	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
36	186482fc-61f1-472f-8297-e33481569d0d	chr16	700372	714771	14310	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
37	7ebd3ed8-1164-45b0-9596-b8516484e7a2	chr16	701759	707425	5685	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
38	c1b0e7a2-5032-4774-8282-081b902cbb5c	chr16	702336	705051	2652	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
39	fbc0050b-91f5-4062-8ee3-cc7a9f748b9b	chr16	702519	712276	9731	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
40	d94d94ab-8cd1-4a72-9caa-04fe105ba0b3	chr16	703200	717816	14559	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
41	07670fa5-c4fc-4927-ad9f-7149144dd1ec	chr16	703202	707267	4068	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
42	6c6df387-a8a0-4262-b303-ddea94b0fd92	chr16	703392	712059	8671	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
43	e438018e-fb87-4b52-8dad-737a7cbf7751	chr16	703669	729327	25668	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
44	f3b81fad-c06d-405e-a5e0-2c45015701df	chr16	703756	726551	22720	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
45	7601761f-2985-4d4d-8efc-b59f992f2d85	chr16	703988	714725	10645	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
46	66ae0ba0-e6b6-4bbd-94f3-7822a2741a3c	chr16	705139	716020	10824	False	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
47	d63f84ab-b8fb-4ebf-b819-7e6889606bcf	chr16	705217	737957	32615	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
48	a437d841-4546-4f0b-a13a-f36f139536e1	chr16	705220	723706	17502	True	55	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
49	b1d8bb57-afca-4fe4-8726-15277c5d56d2	chr16	706494	738126	31474	True	60	0	chr16_rank1_score5.069_reads370	train	merged_e5b	0	chr16_chr19
50	e5e45403-7239-4b65-b4f4-7a38f5948078	chr16	3087943	3114832	25635	True	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
51	e636887f-21c2-4af6-aade-9bf294a444b1	chr16	3090833	3117614	26786	True	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
52	d2e96b6f-4d67-4b32-86be-dff73a289905	chr16	3091102	3116564	25295	False	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
53	e04359c8-c257-4b41-970d-819d8da4945b	chr16	3093536	3110662	17028	True	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
54	619d55ae-bda6-428a-9fe4-0536e070dbe8	chr16	3093872	3108668	14759	True	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
55	74b44ad5-93b0-4527-b8f6-728b8bbacecf	chr16	3094044	3119266	25152	False	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
56	11c47aa7-f826-4743-a1bb-48ebfd08a143	chr16	3094406	3114627	20155	True	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
57	8d41046a-99cd-4e04-bc6e-210189f8a92e	chr16	3095665	3108476	12616	True	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
58	0a6ce0ff-e012-4581-a730-5bd0b96bf95b	chr16	3096000	3107587	11418	True	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
59	78aad83f-ccd5-4aac-adcd-c78d914fe5cd	chr16	3096213	3110807	14557	True	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
60	5b93c9a4-bdb3-4392-85c9-ecda30430053	chr16	3096380	3104238	7848	False	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
61	ec409e4a-2ff0-45ef-8d68-894fafa4bf29	chr16	3096408	3104372	7889	True	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
62	67649b41-cad6-473f-9994-9a532d09e890	chr16	3096521	3104053	7576	False	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
63	65d72c92-9b11-4ac4-87a7-b42d35134d06	chr16	3096682	3120026	23342	True	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
64	e7a2277f-cdd3-4233-8172-443f03e19268	chr16	3097318	3119108	21624	False	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
65	d4ea1bdf-a8c5-4bc4-b855-d7e72517afa0	chr16	3097322	3126506	29178	False	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
66	2ca4b72d-b1aa-4f6d-914c-385d930d9c12	chr16	3097686	3113531	15815	False	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
67	a967f5ad-cd76-4fd6-ba9e-7fddcbd72ab7	chr16	3097874	3103563	5521	True	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
68	8e88b89d-2097-41fe-aee4-e233f5ff56b5	chr16	3097881	3103553	5625	False	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
69	80067552-b92c-47d1-b182-d494e24fb362	chr16	3098094	3105675	7599	False	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
70	79e09626-f275-4afb-acf7-de9e8467d9f7	chr16	3098242	3109082	10845	True	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
71	3ef28ea6-c6bf-4940-8704-d9ee05733110	chr16	3098442	3105451	7023	True	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
72	b787dc4f-b4d4-4de9-948d-32fa2b817586	chr16	3098829	3126084	27019	False	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
73	4a5b6c3c-c605-4c3b-be6d-fe8fa6e74b33	chr16	3098953	3115232	16082	False	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
74	f61838a0-c41f-4cb2-9aed-d10d3836c0c5	chr16	3099746	3112438	12706	False	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
75	55195c22-a02b-46a3-b026-0fc09925e649	chr16	3100183	3100725	536	True	60	1	chr16_rank2_score4.990_reads483	train	merged_e5b	0	chr16_chr19
76	701076e4-2b37-447d-82d1-aeb89bfe0988	chr16	587514	612671	25143	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16_chr19
77	9e3cdd44-dab7-48b3-9d65-2bfee00a9fbe	chr16	589291	611190	21971	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16_chr19
78	c7eca957-c197-4cb2-ba35-2e96b431f4e5	chr16	592296	609874	17652	False	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16_chr19
79	a56e1fd1-eca6-44d7-9c61-f45b93a4a6d9	chr16	594911	605396	10513	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16_chr19
80	620ba3a5-e56b-4240-ba8b-c021236d7180	chr16	595574	624748	29875	True	60	2	chr16_rank3_score4.722_reads400	train	merged_e5b	0	chr16_chr19
