group	mark	chrom	position_0based	n_reads	target_mean	target_variance	target_std	target_positive_fraction	variance_class
merged_c1	5mC	chr16	76319444	10	0.49921875	0.2696026272243924	0.519232729346285	0.5	high
merged_c1	5mC	chr16	46406864	10	0.498046875	0.2667134602864583	0.5164430852344315	0.5	high
merged_c1	5mC	chr16	31833458	11	0.4543678977272727	0.2663141424005681	0.5160563364600499	0.4545454545454545	high
merged_c1	5mC	chr16	38090169	12	0.5022786458333334	0.2632597720984256	0.5130884642032265	0.5	high
merged_c1	5mC	chr16	37920374	10	0.505859375	0.2632548014322917	0.5130836203118276	0.5	high
merged_c1	5mC	chr16	38249180	11	0.5392400568181818	0.2631053577769886	0.5129379667922708	0.5454545454545454	high
merged_c1	5mC	chr16	37933762	10	0.501953125	0.2624918619791667	0.5123395963413004	0.5	high
merged_c1	5mC	chr16	33075910	10	0.4953125	0.2620986938476562	0.5119557537987597	0.5	high
merged_c1	5mC	chr16	37224003	10	0.50078125	0.2619800143771701	0.5118398327379086	0.5	high
merged_c1	5mC	chr16	18320636	10	0.49453125	0.2614354451497396	0.5113075837005937	0.5	high
merged_c1	5mC	chr16	65157406	11	0.4501065340909091	0.2613680752840909	0.5112416994769606	0.4545454545454545	high
merged_c1	5mC	chr16	37581504	10	0.49921875	0.2612238566080729	0.5111006325647356	0.5	high
merged_c1	5mC	chr16	59381521	10	0.495703125	0.2609734429253472	0.5108555988979148	0.5	high
merged_c1	5mC	chr16	82054206	13	0.458984375	0.26080322265625	0.5106889686063818	0.4615384615384615	high
merged_c1	5mC	chr16	37003208	10	0.4	0.2606385972764757	0.5105277634727378	0.4	high
merged_c1	5mC	chr16	34354841	10	0.49453125	0.2605199178059896	0.5104115180969073	0.5	high
merged_c1	5mC	chr16	36603427	11	0.5442116477272727	0.2603357488458807	0.510231073971275	0.5454545454545454	high
merged_c1	5mC	chr16	11391478	11	0.5442116477272727	0.2603204900568182	0.5102161209299626	0.5454545454545454	high
merged_c1	5mC	chr16	18286157	13	0.4634915865384615	0.2602280836838942	0.510125556783714	0.4615384615384615	high
merged_c1	5mC	chr16	6825904	11	0.4536576704545454	0.2601540305397727	0.510052968366789	0.4545454545454545	high
merged_c1	5mC	chr16	82907234	12	0.5071614583333334	0.2601105661103219	0.5100103588264869	0.5	high
merged_c1	5mC	chr16	19888492	11	0.4522372159090909	0.2600710782137784	0.509971644519358	0.4545454545454545	high
merged_c1	5mC	chr16	78759791	10	0.492578125	0.2600307888454861	0.5099321414124492	0.5	high
merged_c1	5mC	chr16	60684075	10	0.501171875	0.2599005805121528	0.5098044532094171	0.5	high
merged_c1	5mC	chr16	36768670	13	0.5425180288461539	0.2597237611428285	0.509631004887682	0.5384615384615384	high
merged_c1	5mC	chr16	78921941	11	0.5442116477272727	0.2596124822443181	0.5095218172407519	0.5454545454545454	high
merged_c1	5mC	chr16	37488456	10	0.503515625	0.259393310546875	0.5093066959572345	0.5	high
merged_c1	5mC	chr16	77734797	12	0.5045572916666666	0.2587345007694128	0.5086595135937328	0.5	high
merged_c1	5mC	chr16	64273658	15	0.4641927083333333	0.2583523704892113	0.5082837499755538	0.4666666666666667	high
merged_c1	5mC	chr16	35061667	10	0.49609375	0.2582304212782118	0.5081637740711274	0.5	high
merged_c1	5mC	chr16	36596072	11	0.4564985795454545	0.2581215598366477	0.5080566502238187	0.4545454545454545	high
merged_c1	5mC	chr16	34404479	13	0.5389122596153846	0.2581039819961939	0.508039350834356	0.5384615384615384	high
merged_c1	5mC	chr16	36675088	10	0.594921875	0.2579203287760416	0.5078585716280091	0.6	high
merged_c1	5mC	chr16	37849374	10	0.5984375	0.2575549655490451	0.5074987345295012	0.6	high
merged_c1	5mC	chr16	64126724	15	0.4641927083333333	0.2572559175037202	0.5072040196052474	0.4666666666666667	high
merged_c1	5mC	chr16	83129290	15	0.464453125	0.2570578438895089	0.5070087217095076	0.4666666666666667	high
merged_c1	5mC	chr16	74262510	11	0.4486860795454545	0.2567482688210227	0.5067033341325303	0.4545454545454545	high
merged_c1	5mC	chr16	78992308	12	0.4150390625	0.256422909823331	0.5063821776320045	0.4166666666666667	high
merged_c1	5mC	chr16	37930227	10	0.49765625	0.2562711927625868	0.5062323505689722	0.5	high
merged_c1	5mC	chr16	76747460	14	0.4997209821428571	0.2562131776914492	0.5061750464922675	0.5	high
merged_c1	5mC	chr16	37451582	10	0.507421875	0.2559075249565972	0.5058730324464797	0.5	high
merged_c1	5mC	chr16	79409824	16	0.49658203125	0.2558692932128906	0.5058352431502678	0.5	high
merged_c1	5mC	chr16	63424091	22	0.4973366477272727	0.2556292381121482	0.5055979016097162	0.5	high
merged_c1	5mC	chr16	37196164	11	0.5314275568181818	0.2556071888316761	0.5055760959852394	0.5454545454545454	high
merged_c1	5mC	chr16	37933724	10	0.49921875	0.2553204006618924	0.5052923912566786	0.5	high
merged_c1	5mC	chr16	37166881	11	0.5403053977272727	0.2552210027521306	0.5051940248579061	0.5454545454545454	high
merged_c1	5mC	chr16	78582187	10	0.5984375	0.2550321790907118	0.5050071079605829	0.6	high
