region_id	chrom	start	end	name	split
0	chr17	8100000	8200000	chr16_rank1_score5.253_reads554	train
1	chr17	43200000	43300000	chr16_rank2_score4.782_reads296	train
2	chr17	82000000	82100000	chr16_rank3_score4.708_reads580	train
3	chr17	7200000	7300000	chr16_rank4_score3.840_reads561	train
4	chr17	45100000	45200000	chr16_rank5_score3.710_reads635	test
5	chr17	81300000	81400000	chr16_rank6_score3.559_reads499	train
6	chr17	7800000	7900000	chr16_rank7_score3.539_reads535	test
7	chr17	82200000	82300000	chr16_rank8_score3.484_reads562	test
8	chr17	81900000	82000000	chr16_rank9_score3.482_reads530	val
9	chr17	81800000	81900000	chr16_rank10_score3.441_reads552	test
10	chr17	78300000	78400000	chr16_rank11_score3.292_reads611	train
11	chr17	38700000	38800000	chr16_rank12_score3.250_reads546	test
12	chr17	28700000	28800000	chr16_rank13_score3.225_reads576	test
13	chr17	4900000	5000000	chr16_rank14_score3.199_reads513	train
14	chr17	7300000	7400000	chr16_rank15_score3.099_reads574	train
15	chr17	81500000	81600000	chr16_rank16_score2.963_reads581	val
16	chr17	21200000	21300000	chr16_rank17_score2.961_reads773	train
17	chr17	50100000	50200000	chr16_rank18_score2.892_reads640	train
18	chr17	81400000	81500000	chr16_rank19_score2.859_reads510	train
19	chr17	44300000	44400000	chr16_rank20_score2.848_reads677	test
20	chr17	42500000	42600000	chr16_rank21_score2.753_reads577	train
21	chr17	78100000	78200000	chr16_rank22_score2.723_reads700	train
22	chr17	48600000	48700000	chr16_rank23_score2.694_reads563	train
23	chr17	8200000	8300000	chr16_rank24_score2.603_reads584	train
24	chr17	50000000	50100000	chr16_rank25_score2.554_reads572	train
25	chr17	43300000	43400000	chr16_rank26_score2.552_reads679	train
26	chr17	45200000	45300000	chr16_rank27_score2.546_reads650	train
27	chr17	76500000	76600000	chr16_rank28_score2.517_reads733	test
28	chr17	7400000	7500000	chr16_rank29_score2.503_reads560	val
29	chr17	75800000	75900000	chr16_rank30_score2.485_reads582	train
30	chr17	40400000	40500000	chr16_rank31_score2.480_reads594	val
31	chr17	2300000	2400000	chr16_rank32_score2.470_reads568	train
32	chr17	47800000	47900000	chr16_rank33_score2.452_reads625	train
33	chr17	4700000	4800000	chr16_rank34_score2.440_reads571	train
34	chr17	44900000	45000000	chr16_rank35_score2.428_reads709	train
35	chr17	50600000	50700000	chr16_rank36_score2.402_reads562	train
36	chr17	74900000	75000000	chr16_rank37_score2.389_reads572	train
37	chr17	40300000	40400000	chr16_rank38_score2.380_reads532	train
38	chr17	2000000	2100000	chr16_rank39_score2.377_reads569	train
39	chr17	75000000	75100000	chr16_rank40_score2.330_reads594	train
40	chr17	48900000	49000000	chr16_rank41_score2.326_reads630	train
41	chr17	75500000	75600000	chr16_rank42_score2.302_reads515	test
42	chr17	44100000	44200000	chr16_rank43_score2.295_reads550	train
43	chr17	81200000	81300000	chr16_rank44_score2.268_reads579	train
44	chr17	75100000	75200000	chr16_rank45_score2.244_reads545	train
45	chr17	29500000	29600000	chr16_rank46_score2.239_reads572	train
46	chr17	39600000	39700000	chr16_rank47_score2.239_reads593	test
47	chr17	80400000	80500000	chr16_rank48_score2.178_reads626	train
48	chr17	38400000	38500000	chr16_rank49_score2.162_reads599	train
49	chr17	75700000	75800000	chr16_rank50_score2.132_reads547	train
50	chr17	42600000	42700000	chr16_rank51_score2.095_reads572	test
51	chr17	79700000	79800000	chr16_rank52_score2.081_reads579	train
