row_idx	read_id	chrom	alignment_start	alignment_end	read_length	window_start	window_end	window_length	is_reverse	mapq	region_id	region_name	split
0	932e659a-5536-4e7e-9fc9-347dac460184	chr16	666649	702804	35259	0	32768	32768	False	60	2	chr16_rank3_score4.722_reads400	train
1	932e659a-5536-4e7e-9fc9-347dac460184	chr16	666649	702804	35259	2491	35259	32768	False	60	2	chr16_rank3_score4.722_reads400	train
2	932e659a-5536-4e7e-9fc9-347dac460184	chr16	666649	702804	35259	16384	35259	18875	False	60	2	chr16_rank3_score4.722_reads400	train
3	932e659a-5536-4e7e-9fc9-347dac460184	chr16	666649	702804	35259	32768	35259	2491	False	60	2	chr16_rank3_score4.722_reads400	train
4	6860bc7f-c3c5-4c5f-8787-ecf9ad958b81	chr16	672867	712580	39765	0	32768	32768	False	60	2	chr16_rank3_score4.722_reads400	train
5	6860bc7f-c3c5-4c5f-8787-ecf9ad958b81	chr16	672867	712580	39765	6997	39765	32768	False	60	2	chr16_rank3_score4.722_reads400	train
6	6860bc7f-c3c5-4c5f-8787-ecf9ad958b81	chr16	672867	712580	39765	16384	39765	23381	False	60	2	chr16_rank3_score4.722_reads400	train
7	6860bc7f-c3c5-4c5f-8787-ecf9ad958b81	chr16	672867	712580	39765	32768	39765	6997	False	60	2	chr16_rank3_score4.722_reads400	train
8	6716f742-d9ed-4c16-a260-4f069a33b9eb	chr16	674356	701614	27315	0	27315	27315	True	60	2	chr16_rank3_score4.722_reads400	train
9	e7a44f2d-9ad8-4eb8-b79c-ec8da25c3341	chr16	674741	701250	26300	0	26300	26300	False	60	2	chr16_rank3_score4.722_reads400	train
10	5e7cf555-0252-46cc-958e-2043015117c4	chr16	3061921	3104132	42077	0	32768	32768	True	60	19	chr16_rank20_score3.106_reads440	test
11	5e7cf555-0252-46cc-958e-2043015117c4	chr16	3061921	3104132	42077	9309	42077	32768	True	60	19	chr16_rank20_score3.106_reads440	test
12	5e7cf555-0252-46cc-958e-2043015117c4	chr16	3061921	3104132	42077	16384	42077	25693	True	60	19	chr16_rank20_score3.106_reads440	test
13	5e7cf555-0252-46cc-958e-2043015117c4	chr16	3061921	3104132	42077	32768	42077	9309	True	60	19	chr16_rank20_score3.106_reads440	test
14	7d0b1675-53af-4b25-a5a4-9de00c07c4f6	chr16	3064147	3123600	59328	0	32768	32768	False	60	19	chr16_rank20_score3.106_reads440	test
15	7d0b1675-53af-4b25-a5a4-9de00c07c4f6	chr16	3064147	3123600	59328	16384	49152	32768	False	60	19	chr16_rank20_score3.106_reads440	test
16	7d0b1675-53af-4b25-a5a4-9de00c07c4f6	chr16	3064147	3123600	59328	26560	59328	32768	False	60	19	chr16_rank20_score3.106_reads440	test
17	7d0b1675-53af-4b25-a5a4-9de00c07c4f6	chr16	3064147	3123600	59328	32768	59328	26560	False	60	19	chr16_rank20_score3.106_reads440	test
18	7d0b1675-53af-4b25-a5a4-9de00c07c4f6	chr16	3064147	3123600	59328	49152	59328	10176	False	60	19	chr16_rank20_score3.106_reads440	test
19	9b847eb1-d17b-42d1-b5d6-d7df40398e3a	chr16	3075254	3142577	67321	0	32768	32768	False	60	1	chr16_rank2_score4.990_reads483	train
20	82e06935-9650-4087-930f-ceb76ac0245d	chr16	558647	604527	46427	0	32768	32768	True	60	9	chr16_rank10_score3.770_reads393	test
21	82e06935-9650-4087-930f-ceb76ac0245d	chr16	558647	604527	46427	13659	46427	32768	True	60	9	chr16_rank10_score3.770_reads393	test
22	82e06935-9650-4087-930f-ceb76ac0245d	chr16	558647	604527	46427	16384	46427	30043	True	60	9	chr16_rank10_score3.770_reads393	test
23	82e06935-9650-4087-930f-ceb76ac0245d	chr16	558647	604527	46427	32768	46427	13659	True	60	9	chr16_rank10_score3.770_reads393	test
24	4e740284-d1a4-4388-b59b-c5c7be813ae3	chr16	570020	601566	32130	0	32130	32130	False	60	9	chr16_rank10_score3.770_reads393	test
