row_idx	read_id	chrom	alignment_start	alignment_end	read_length	window_start	window_end	window_length	is_reverse	mapq	region_id	region_name	split	sample	sample_id
0	08471438-a7b4-422f-b7b4-e5605692cc2a	chr17	8047420	8103653	56049	0	32768	32768	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
1	08471438-a7b4-422f-b7b4-e5605692cc2a	chr17	8047420	8103653	56049	16384	49152	32768	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
2	08471438-a7b4-422f-b7b4-e5605692cc2a	chr17	8047420	8103653	56049	23281	56049	32768	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
3	08471438-a7b4-422f-b7b4-e5605692cc2a	chr17	8047420	8103653	56049	32768	56049	23281	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
4	08471438-a7b4-422f-b7b4-e5605692cc2a	chr17	8047420	8103653	56049	49152	56049	6897	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
5	8b6b23c2-5a4e-4704-a08a-114746644af7	chr17	8053314	8121079	78069	0	32768	32768	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
6	8b6b23c2-5a4e-4704-a08a-114746644af7	chr17	8053314	8121079	78069	16384	49152	32768	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
7	8b6b23c2-5a4e-4704-a08a-114746644af7	chr17	8053314	8121079	78069	32768	65536	32768	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
8	8b6b23c2-5a4e-4704-a08a-114746644af7	chr17	8053314	8121079	78069	45301	78069	32768	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
9	8b6b23c2-5a4e-4704-a08a-114746644af7	chr17	8053314	8121079	78069	49152	78069	28917	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
10	8b6b23c2-5a4e-4704-a08a-114746644af7	chr17	8053314	8121079	78069	65536	78069	12533	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
11	4a6c149f-abad-40e1-99e4-ee673bf179fb	chr17	8061889	8124458	62009	0	32768	32768	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
12	4a6c149f-abad-40e1-99e4-ee673bf179fb	chr17	8061889	8124458	62009	16384	49152	32768	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
13	4a6c149f-abad-40e1-99e4-ee673bf179fb	chr17	8061889	8124458	62009	29241	62009	32768	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
14	4a6c149f-abad-40e1-99e4-ee673bf179fb	chr17	8061889	8124458	62009	32768	62009	29241	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
15	4a6c149f-abad-40e1-99e4-ee673bf179fb	chr17	8061889	8124458	62009	49152	62009	12857	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
16	4c46d346-96eb-4c79-a37f-23c3bd5de667	chr17	8069695	8108246	38444	0	32768	32768	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
17	4c46d346-96eb-4c79-a37f-23c3bd5de667	chr17	8069695	8108246	38444	5676	38444	32768	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
18	4c46d346-96eb-4c79-a37f-23c3bd5de667	chr17	8069695	8108246	38444	16384	38444	22060	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
19	4c46d346-96eb-4c79-a37f-23c3bd5de667	chr17	8069695	8108246	38444	32768	38444	5676	False	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
20	93d09415-0d88-4334-abcf-9c8133ce1eba	chr17	8069871	8112011	42040	0	32768	32768	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
21	93d09415-0d88-4334-abcf-9c8133ce1eba	chr17	8069871	8112011	42040	9272	42040	32768	True	60	0	chr16_rank1_score5.253_reads554	train	merged_e5b	0
