row_idx	read_id	chrom	alignment_start	alignment_end	read_length	window_start	window_end	window_length	is_reverse	mapq	region_id	region_name	split
0	115779e7-e3a9-44f9-97e1-f9e407db9d35	chr11	752245	803126	50727	0	32768	32768	False	60	6	chr16_rank7_score5.133_reads389	test
1	115779e7-e3a9-44f9-97e1-f9e407db9d35	chr11	752245	803126	50727	16384	49152	32768	False	60	6	chr16_rank7_score5.133_reads389	test
2	115779e7-e3a9-44f9-97e1-f9e407db9d35	chr11	752245	803126	50727	17959	50727	32768	False	60	6	chr16_rank7_score5.133_reads389	test
3	115779e7-e3a9-44f9-97e1-f9e407db9d35	chr11	752245	803126	50727	32768	50727	17959	False	60	6	chr16_rank7_score5.133_reads389	test
4	115779e7-e3a9-44f9-97e1-f9e407db9d35	chr11	752245	803126	50727	49152	50727	1575	False	60	6	chr16_rank7_score5.133_reads389	test
5	d3cfe68c-62a3-47e8-b769-b2cd324337ea	chr11	766558	806625	39870	0	32768	32768	False	60	6	chr16_rank7_score5.133_reads389	test
6	d3cfe68c-62a3-47e8-b769-b2cd324337ea	chr11	766558	806625	39870	7102	39870	32768	False	60	6	chr16_rank7_score5.133_reads389	test
7	d3cfe68c-62a3-47e8-b769-b2cd324337ea	chr11	766558	806625	39870	16384	39870	23486	False	60	6	chr16_rank7_score5.133_reads389	test
8	d3cfe68c-62a3-47e8-b769-b2cd324337ea	chr11	766558	806625	39870	32768	39870	7102	False	60	6	chr16_rank7_score5.133_reads389	test
9	86b1b36a-1aa6-4392-94dc-a73cec806366	chr11	767181	801226	33895	0	32768	32768	True	60	6	chr16_rank7_score5.133_reads389	test
10	86b1b36a-1aa6-4392-94dc-a73cec806366	chr11	767181	801226	33895	1127	33895	32768	True	60	6	chr16_rank7_score5.133_reads389	test
11	86b1b36a-1aa6-4392-94dc-a73cec806366	chr11	767181	801226	33895	16384	33895	17511	True	60	6	chr16_rank7_score5.133_reads389	test
12	86b1b36a-1aa6-4392-94dc-a73cec806366	chr11	767181	801226	33895	32768	33895	1127	True	60	6	chr16_rank7_score5.133_reads389	test
13	f26a3743-6d49-4ff5-822f-0013aa335afe	chr11	767477	808000	39203	0	32768	32768	False	60	6	chr16_rank7_score5.133_reads389	test
14	f26a3743-6d49-4ff5-822f-0013aa335afe	chr11	767477	808000	39203	6435	39203	32768	False	60	6	chr16_rank7_score5.133_reads389	test
15	f26a3743-6d49-4ff5-822f-0013aa335afe	chr11	767477	808000	39203	16384	39203	22819	False	60	6	chr16_rank7_score5.133_reads389	test
16	f26a3743-6d49-4ff5-822f-0013aa335afe	chr11	767477	808000	39203	32768	39203	6435	False	60	6	chr16_rank7_score5.133_reads389	test
17	9d3cca9f-e1a7-406d-b224-ef48db8c660d	chr11	768552	822739	53930	0	32768	32768	False	60	6	chr16_rank7_score5.133_reads389	test
18	9d3cca9f-e1a7-406d-b224-ef48db8c660d	chr11	768552	822739	53930	16384	49152	32768	False	60	6	chr16_rank7_score5.133_reads389	test
19	9d3cca9f-e1a7-406d-b224-ef48db8c660d	chr11	768552	822739	53930	21162	53930	32768	False	60	6	chr16_rank7_score5.133_reads389	test
20	9d3cca9f-e1a7-406d-b224-ef48db8c660d	chr11	768552	822739	53930	32768	53930	21162	False	60	6	chr16_rank7_score5.133_reads389	test
21	9d3cca9f-e1a7-406d-b224-ef48db8c660d	chr11	768552	822739	53930	49152	53930	4778	False	60	6	chr16_rank7_score5.133_reads389	test
22	8c1ac4ab-8b1a-41fb-abe8-b37f6045a1c3	chr11	770172	805233	34711	0	32768	32768	False	60	6	chr16_rank7_score5.133_reads389	test
23	8c1ac4ab-8b1a-41fb-abe8-b37f6045a1c3	chr11	770172	805233	34711	1943	34711	32768	False	60	6	chr16_rank7_score5.133_reads389	test
24	8c1ac4ab-8b1a-41fb-abe8-b37f6045a1c3	chr11	770172	805233	34711	16384	34711	18327	False	60	6	chr16_rank7_score5.133_reads389	test
25	8c1ac4ab-8b1a-41fb-abe8-b37f6045a1c3	chr11	770172	805233	34711	32768	34711	1943	False	60	6	chr16_rank7_score5.133_reads389	test
26	4e9c1a57-7af9-489e-8d1a-4c1ee0e3e1f6	chr11	770782	805513	36079	0	32768	32768	True	60	6	chr16_rank7_score5.133_reads389	test
27	4e9c1a57-7af9-489e-8d1a-4c1ee0e3e1f6	chr11	770782	805513	36079	3311	36079	32768	True	60	6	chr16_rank7_score5.133_reads389	test
28	4e9c1a57-7af9-489e-8d1a-4c1ee0e3e1f6	chr11	770782	805513	36079	16384	36079	19695	True	60	6	chr16_rank7_score5.133_reads389	test
29	4e9c1a57-7af9-489e-8d1a-4c1ee0e3e1f6	chr11	770782	805513	36079	32768	36079	3311	True	60	6	chr16_rank7_score5.133_reads389	test
30	75d2f44c-c786-46c4-bfaa-0e145b33a302	chr11	776410	801098	24624	0	24624	24624	False	60	6	chr16_rank7_score5.133_reads389	test
31	56faaf2b-238c-47ed-bf74-aecc3e09a3cf	chr11	776664	808046	31210	0	31210	31210	True	60	6	chr16_rank7_score5.133_reads389	test
32	d7a74ac6-bdc8-484c-8890-3b579e8a9a40	chr11	780071	843158	62155	0	32768	32768	False	60	0	chr16_rank1_score6.530_reads411	train
33	d7a74ac6-bdc8-484c-8890-3b579e8a9a40	chr11	780071	843158	62155	16384	49152	32768	False	60	0	chr16_rank1_score6.530_reads411	train
34	d7a74ac6-bdc8-484c-8890-3b579e8a9a40	chr11	780071	843158	62155	29387	62155	32768	False	60	0	chr16_rank1_score6.530_reads411	train
35	d7a74ac6-bdc8-484c-8890-3b579e8a9a40	chr11	780071	843158	62155	32768	62155	29387	False	60	0	chr16_rank1_score6.530_reads411	train
36	d7a74ac6-bdc8-484c-8890-3b579e8a9a40	chr11	780071	843158	62155	49152	62155	13003	False	60	0	chr16_rank1_score6.530_reads411	train
37	5f894641-b57b-485d-acbc-3d2993a27907	chr11	784074	827905	43996	0	32768	32768	False	60	0	chr16_rank1_score6.530_reads411	train
38	5f894641-b57b-485d-acbc-3d2993a27907	chr11	784074	827905	43996	11228	43996	32768	False	60	0	chr16_rank1_score6.530_reads411	train
39	5f894641-b57b-485d-acbc-3d2993a27907	chr11	784074	827905	43996	16384	43996	27612	False	60	0	chr16_rank1_score6.530_reads411	train
40	5f894641-b57b-485d-acbc-3d2993a27907	chr11	784074	827905	43996	32768	43996	11228	False	60	0	chr16_rank1_score6.530_reads411	train
41	4e7f7f36-3fc8-4911-aaa6-999012b60c82	chr11	785660	818125	31329	0	31329	31329	False	60	0	chr16_rank1_score6.530_reads411	train
42	7c801201-46fc-481c-a227-6c997ec6d798	chr11	786208	809622	23328	0	23328	23328	False	60	6	chr16_rank7_score5.133_reads389	test
43	1081b608-4d7d-4b07-9ec6-05d034dece01	chr11	787712	800451	12642	0	12642	12642	True	60	6	chr16_rank7_score5.133_reads389	test
44	771eb1ae-7fa8-4f36-b638-1a3d358872a4	chr11	788437	801238	12060	0	12060	12060	True	60	6	chr16_rank7_score5.133_reads389	test
45	dce2897a-02e5-48b6-9fd0-fe5b2255208c	chr11	789132	808519	19174	0	19174	19174	True	60	6	chr16_rank7_score5.133_reads389	test
46	808eca5f-97dc-451d-b4af-210f242bf2ad	chr11	789190	870897	81390	0	32768	32768	True	60	0	chr16_rank1_score6.530_reads411	train
47	808eca5f-97dc-451d-b4af-210f242bf2ad	chr11	789190	870897	81390	16384	49152	32768	True	60	0	chr16_rank1_score6.530_reads411	train
48	808eca5f-97dc-451d-b4af-210f242bf2ad	chr11	789190	870897	81390	32768	65536	32768	True	60	0	chr16_rank1_score6.530_reads411	train
49	808eca5f-97dc-451d-b4af-210f242bf2ad	chr11	789190	870897	81390	48622	81390	32768	True	60	0	chr16_rank1_score6.530_reads411	train
50	633036d7-9cd9-489b-bd52-c84554bd3cb6	chr11	64162697	64211182	48289	0	32768	32768	False	60	95	chr16_rank96_score2.067_reads390	val
51	633036d7-9cd9-489b-bd52-c84554bd3cb6	chr11	64162697	64211182	48289	15521	48289	32768	False	60	95	chr16_rank96_score2.067_reads390	val
52	633036d7-9cd9-489b-bd52-c84554bd3cb6	chr11	64162697	64211182	48289	16384	48289	31905	False	60	95	chr16_rank96_score2.067_reads390	val
53	633036d7-9cd9-489b-bd52-c84554bd3cb6	chr11	64162697	64211182	48289	32768	48289	15521	False	60	95	chr16_rank96_score2.067_reads390	val
54	d57066c0-51c1-41d1-9b20-74425b1eafd0	chr11	64164919	64214152	48948	0	32768	32768	True	60	95	chr16_rank96_score2.067_reads390	val
55	d57066c0-51c1-41d1-9b20-74425b1eafd0	chr11	64164919	64214152	48948	16180	48948	32768	True	60	95	chr16_rank96_score2.067_reads390	val
56	d57066c0-51c1-41d1-9b20-74425b1eafd0	chr11	64164919	64214152	48948	16384	48948	32564	True	60	95	chr16_rank96_score2.067_reads390	val
57	d57066c0-51c1-41d1-9b20-74425b1eafd0	chr11	64164919	64214152	48948	32768	48948	16180	True	60	95	chr16_rank96_score2.067_reads390	val
58	5d095cab-52cc-4086-aa86-088d64920b4e	chr11	64167259	64201985	34546	0	32768	32768	True	60	95	chr16_rank96_score2.067_reads390	val
59	5d095cab-52cc-4086-aa86-088d64920b4e	chr11	64167259	64201985	34546	1778	34546	32768	True	60	95	chr16_rank96_score2.067_reads390	val
60	5d095cab-52cc-4086-aa86-088d64920b4e	chr11	64167259	64201985	34546	16384	34546	18162	True	60	95	chr16_rank96_score2.067_reads390	val
61	5d095cab-52cc-4086-aa86-088d64920b4e	chr11	64167259	64201985	34546	32768	34546	1778	True	60	95	chr16_rank96_score2.067_reads390	val
