window_id	chrom	start	end	split	mark	target_base	npz_path	known_frac	methylated_frac_known	n_reads_used
chr1:0-1000000	chr1	0	1000000	train	h3k4me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr1_0_1000000.npz	0.263510	0.000080	4598
chr1:1000000-2000000	chr1	1000000	2000000	train	h3k4me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr1_1000000_2000000.npz	0.263208	0.000331	4614
chr1:2000000-3000000	chr1	2000000	3000000	train	h3k4me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr1_2000000_3000000.npz	0.292955	0.000000	4185
chr1:3000000-4000000	chr1	3000000	4000000	train	h3k4me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr1_3000000_4000000.npz	0.250857	0.000136	4403
chr1:4000000-5000000	chr1	4000000	5000000	train	h3k4me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr1_4000000_5000000.npz	0.230700	0.000000	4602
chr1:5000000-6000000	chr1	5000000	6000000	train	h3k4me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr1_5000000_6000000.npz	0.255250	0.000031	4475
chr1:6000000-7000000	chr1	6000000	7000000	train	h3k4me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr1_6000000_7000000.npz	0.227899	0.000031	4587
chr1:7000000-8000000	chr1	7000000	8000000	train	h3k4me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr1_7000000_8000000.npz	0.228836	0.000013	4706
chr1:8000000-9000000	chr1	8000000	9000000	train	h3k4me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr1_8000000_9000000.npz	0.230841	0.000074	4794
chr1:9000000-10000000	chr1	9000000	10000000	train	h3k4me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr1_9000000_10000000.npz	0.219750	0.000287	4759
chr1:10000000-11000000	chr1	10000000	11000000	train	h3k4me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr1_10000000_11000000.npz	0.237300	0.000059	4693
chr1:11000000-12000000	chr1	11000000	12000000	train	h3k4me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr1_11000000_12000000.npz	0.237779	0.000240	4854
chr1:12000000-13000000	chr1	12000000	13000000	train	h3k4me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr1_12000000_13000000.npz	0.225742	0.000009	4840
chr1:13000000-14000000	chr1	13000000	14000000	train	h3k4me3	C	/data/leuven/383/vsc38330/thesis_dimelo/src/preprocessing/phase2_long_context/backends_all_marks/backend_h3k4me3_C/h3k4me3_C_labels/chr1_13000000_14000000.npz	0.208727	0.000000	4891
